Laser Delay [ns];TA [mOD]
-400;-0.023792
-390;-0.176169
-380;0.060717
-370;0.261776
-360;-0.363979
-350;0.060506
-340;0.057055
-330;-0.025002
-320;-0.189594
-310;-0.159157
-300;0.156072
-290;0.125927
-280;0.193025
-270;0.172720
-260;-0.323133
-250;-0.180739
-240;0.063546
-230;0.268298
-220;-0.199388
-210;-0.261865
-200;0.288653
-190;0.085015
-180;-0.431808
-170;-0.414396
-160;-0.361354
-150;-0.182240
-140;-0.050328
-130;0.079174
-120;-0.468293
-110;-0.346231
-100;-0.049848
-90;0.012054
-80;0.158933
-70;0.177909
-60;-0.624040
-50;-0.324742
-40;-0.001962
-30;0.091637
-20;0.280762
-10;1.000464
0;3.346240
10;5.520790
20;7.493931
30;9.199904
40;11.171617
50;13.334536
60;15.512780
70;16.968234
80;19.116894
90;21.103202
100;22.350043
110;24.159449
120;24.648930
130;24.076587
140;24.308782
150;23.589055
160;23.437363
170;23.398017
180;22.854495
190;22.437983
200;22.715650
210;22.677404
220;21.938634
230;21.923841
240;20.885635
250;21.489873
260;21.029681
270;20.732346
280;20.495258
290;19.884544
300;19.861013
310;20.286719
320;19.865704
330;19.708247
340;19.446715
350;18.662231
360;18.593200
370;18.776161
380;18.781874
390;18.213887
400;18.381078
410;18.016466
420;17.751085
430;17.322265
440;17.343795
450;17.046262
460;16.760029
470;17.197251
480;16.563621
490;16.473328
500;16.691086
510;16.085837
520;15.888818
530;15.542572
540;15.490546
550;15.303954
560;15.411330
570;15.329794
580;14.952422
590;14.739000
600;14.614014
610;14.357477
620;14.058218
630;14.425406
640;13.855767
650;14.058518
660;14.195495
670;13.181651
680;13.642163
690;13.237402
700;13.012415
710;13.772848
720;12.937050
730;12.328123
740;12.306906
750;12.507945
760;12.794378
770;12.325575
780;12.135541
790;12.014069
800;11.701978
810;10.904283
820;11.817270
830;11.240099
840;11.437115
850;11.434397
860;11.950315
870;10.783339
880;11.020095
890;10.505247
900;10.686302
910;10.448558
920;10.016081
930;9.947255
940;10.344725
950;10.144341
960;10.038149
970;10.086895
980;9.717295
990;10.414993
1000;9.474387
1010;9.487929
1020;9.416795
1030;9.341706
1040;9.576717
1050;9.376354
1060;8.516396
1070;8.707757
1080;8.746408
1090;8.688807
1100;8.987155
1110;8.687784
1120;8.111603
1130;8.474944
1140;7.922036
1150;8.366512
1160;7.755464
1170;7.614237
1180;8.161659
1190;7.904558
1200;7.652002
1210;7.105876
1220;7.667438
1230;7.257650
1240;7.306437
1250;7.372106
1260;6.871560
1270;7.453496
1280;6.979302
1290;7.099128
1300;6.490923
1310;7.106581
1320;6.719524
1330;6.656475
1340;6.830323
1350;6.591943
1360;6.966332
1370;6.763795
1380;6.093198
1390;6.417702
1400;6.224702
1410;6.103506
1420;6.324198
1430;5.490938
1440;5.896620
1450;5.634540
1460;5.653768
1470;5.572830
1480;5.778119
1490;5.745876
1500;5.001024
1510;5.197588
1520;5.947879
1530;5.604544
1540;6.006927
1550;5.206361
1560;4.992740
1570;5.093327
1580;5.229083
1590;5.293917
1600;4.976063
1610;4.853453
1620;5.038860
1630;5.197672
1640;4.226906
1650;4.936760
1660;4.697840
1670;4.327591
1680;4.740686
1690;4.688801
1700;4.160788
1710;4.728451
1720;3.968363
1730;4.298945
1740;4.202942
1750;4.353078
1760;3.946781
1770;3.890815
1780;4.170005
1790;4.100519
1800;4.118369
1810;3.455338
1820;4.456098
1830;3.893698
1840;4.220111
1850;4.077856
1860;3.697427
1870;3.671049
1880;3.558919
1890;3.615195
1900;3.857030
1910;3.477861
1920;3.397776
1930;3.757343
1940;3.417986
1950;3.239092
1960;3.799598
1970;3.348849
1980;3.211813
1990;3.660463
2000;3.443676
2010;2.933896
2020;3.316244
2030;3.140153
2040;3.285700
2050;3.450307
2060;3.103191
2070;3.031977
2080;2.725305
2090;3.044626
2100;3.188764
2110;2.697740
2120;3.060190
2130;2.654821
2140;2.947245
2150;2.994689
2160;2.758358
2170;2.686632
2180;2.320246
2190;2.693222
2200;2.808896
2210;2.588047
2220;2.340305
2230;2.694291
2240;2.851884
2250;2.764158
2260;2.211138
2270;2.596273
2280;2.785828
2290;2.222509
2300;2.420393
2310;2.164212
2320;1.991230
2330;2.189365
2340;2.249211
2350;2.507205
2360;2.262653
2370;1.791982
2380;2.291677
2390;2.417365
2400;2.104791
2410;2.146329
2420;1.977375
2430;2.362458
2440;2.018781
2450;1.958246
2460;2.207999
2470;1.875936
2480;2.021283
2490;2.082944
2500;1.597023
2510;1.832475
2520;2.130555
2530;1.845098
2540;1.963350
2550;2.248012
2560;1.875739
2570;1.416535
2580;1.355021
2590;1.861309
2600;1.677205
2610;1.673239
2620;2.139470
2630;2.014981
2640;1.791334
2650;1.645497
2660;1.891643
2670;1.344170
2680;1.331516
2690;1.618347
2700;1.814828
2710;1.533110
2720;1.678611
2730;1.782445
2740;1.491732
2750;1.928022
2760;1.630839
2770;1.502168
2780;1.488104
2790;1.523000
2800;1.205189
2810;1.696777
2820;0.966103
2830;1.396218
2840;1.298093
2850;1.629060
2860;1.704021
2870;1.522498
2880;1.284137
2890;1.716887
2900;0.919295
2910;1.018154
2920;1.621627
2930;1.243632
2940;1.398179
2950;1.015482
2960;1.028574
2970;0.626699
2980;1.644653
2990;0.965846
3000;0.775263
3010;1.074449
3020;0.981515
3030;1.273286
3040;1.068014
3050;0.418898
3060;1.579774
3070;0.884259
3080;1.200561
3090;0.977529
3100;1.642750
3110;0.762201
3120;1.014362
3130;0.733443
3140;0.633898
3150;0.573284
3160;0.721934
3170;0.932566
3180;1.127045
3190;1.131070
3200;1.307266
3210;0.952891
3220;0.855532
3230;1.096779
3240;0.475238
3250;1.041982
3260;0.760600
3270;0.762043
3280;1.236797
3290;1.007198
3300;1.448583
3310;0.669090
3320;1.007145
3330;0.708172
3340;0.157199
3350;1.185271
3360;0.768947
3370;0.937765
3380;0.117968
3390;1.195557
3400;0.573711
3410;1.206944
3420;0.781396
3430;1.068446
3440;1.002931
3450;0.537763
3460;0.165071
3470;0.522393
3480;0.881254
3490;0.908070
3500;0.678494
3510;0.539212
3520;0.834791
3530;1.147658
3540;1.056679
3550;0.563089
3560;0.060116
3570;0.539087
3580;0.522008
3590;0.392442
3600;0.609542
3610;1.071416
3620;0.210448
3630;0.130921
3640;0.572154
3650;0.882385
3660;0.780746
3670;0.372802
3680;0.488554
3690;0.349283
3700;0.254378
3710;0.420669
3720;0.699729
3730;0.241249
3740;0.883175
3750;0.177001
3760;0.618962
3770;0.424563
3780;0.611827
3790;0.823260
3800;0.611843
3810;0.349498
3820;0.498173
3830;0.484689
3840;0.332313
3850;0.679575
3860;0.306230
3870;0.459308
3880;0.339927
3890;0.159403
3900;0.885845
3910;0.321491
3920;0.588139
3930;0.610889
