Laser Delay [ns];TA [mOD]
3670;0.038410
3680;0.005702
3690;0.490591
3700;0.467510
3710;0.192231
3720;0.457801
3730;0.154519
3740;0.124293
3750;0.030110
3760;0.459370
3770;0.061646
3780;0.514639
3790;0.487840
3800;0.467779
3810;0.324838
3820;0.316509
3830;0.352993
3840;0.495968
3850;0.260920
3860;0.225192
3870;0.361504
3880;0.802524
3890;0.021320
3900;0.273007
3910;0.130707
3920;0.143311
3930;-0.003396
3940;0.028697
3950;0.160032
3960;0.281891
3970;0.196704
3980;0.096292
3990;0.133966
4000;0.175431
4010;-0.091809
4020;0.163680
4030;0.167161
4040;0.042949
4050;0.131039
4060;-0.002448
4070;0.506441
4080;0.503127
4090;0.164851
4100;0.511607
4110;0.078636
4120;0.395793
4130;0.598744
4140;0.276778
4150;0.312064
4160;0.139446
4170;0.188572
4180;0.139833
4190;0.416812
4200;0.079897
4210;0.020066
4220;0.545581
4230;0.349516
4240;0.302383
4250;-0.196445
4260;0.027195
4270;-0.053834
4280;0.216547
4290;0.600650
4300;0.210318
4310;0.340272
4320;0.321882
4330;-0.186394
4340;0.223840
4350;-0.124984
4360;0.460338
4370;0.311847
4380;0.120954
4390;0.063389
4400;0.011737
4410;0.111671
4420;0.022107
4430;-0.036330
4440;0.386622
4450;0.112249
4460;0.334569
4470;0.234238
4480;0.378482
4490;0.244809
4500;-0.338527
4510;0.225217
4520;0.406124
4530;0.018569
4540;0.006057
4550;-0.135269
4560;0.096689
4570;0.059109
4580;-0.046822
4590;0.129311
4600;0.218721
4610;0.146640
4620;0.352957
4630;0.158017
4640;-0.266405
4650;-0.177949
4660;0.417976
4670;-0.026728
4680;0.190712
4690;0.364807
4700;0.113807
4710;0.358986
4720;0.157686
4730;0.068950
4740;0.006565
4750;0.578375
4760;-0.164517
4770;0.272705
4780;0.423921
4790;0.345180
4800;0.256158
4810;-0.121560
4820;0.408699
4830;0.084815
4840;0.570958
4850;0.413492
4860;-0.214483
4870;0.348345
4880;0.466688
4890;0.198772
4900;-0.166276
4910;-0.177207
4920;0.434029
4930;0.479558
4940;0.018574
4950;-0.162286
4960;0.183021
4970;-0.382343
4980;-0.146754
4990;0.092196
5000;0.172127
