lambda[nm],I_Ref_Start[au],I_Ref_Stop[au],I_Ref_Mean[au],I_Dunkel[au],I_70_70[au],I_70_80[au],I_70_90[au],I_70_100[au],I_70_110[au],I_70_120[au],I_70_130[au],I_70_140[au],I_90_70[au],I_90_80[au],I_90_90[au],I_90_100[au],I_90_110[au],I_90_120[au],I_90_130[au],I_90_140[au]
589.583,26960.054,23007.538,24983.796000000002,153.108,25013.394,45355.375,36704.135,32365.471,23978.212,27422.192,30817.5,29088.462,26959.298,24885.442,23737.125,34833.76,24900.413,28937.135,26036.394,25862.663
589.712,26960.161,22949.385,24954.773,147.183,25022.212,45374.154,36646.096,32349.913,24024.096,27379.365,30819.192,29099.471,26913.183,24952.058,23755.74,34835.962,24921.442,28907.567,26050.317,25863.529
589.84,26866.925,22920.279,24893.602,146.387,24934.019,45334.231,36620.221,32369.221,23953.154,27386.981,30798.125,29051.615,26881.038,24865.596,23692.51,34760.279,24869.558,28894.548,26015.644,25833.327
589.968,26914.43,23003.0,24958.715,153.011,24964.115,45296.74,36676.356,32344.673,23986.067,27351.721,30821.981,29087.413,26879.24,24969.76,23701.952,34690.25,24858.471,28843.519,26007.346,25837.125
590.096,26957.086,23040.183,24998.6345,151.559,24957.317,45466.702,36729.356,32446.615,24025.779,27492.356,30856.558,29177.875,26994.529,25028.894,23755.615,34858.635,24914.337,28963.731,26100.212,25896.702
590.224,26952.215,23011.452,24981.8335,153.118,25012.231,45477.596,36724.962,32420.202,24078.202,27468.76,30912.029,29208.519,26998.048,25025.731,23699.663,34800.269,24915.337,28992.019,26109.173,25907.904
590.352,27051.419,23139.221,25095.32,174.774,25097.577,45574.337,36838.115,32547.654,24148.644,27541.875,30993.74,29293.5,27135.981,25076.817,23832.885,34910.74,25031.904,28985.702,26170.106,26015.308
590.48,26921.559,23034.99,24978.2745,151.505,25035.76,45305.192,36765.442,32391.221,24032.913,27406.788,30912.856,29205.163,27040.596,25024.558,23782.596,34772.904,24926.923,28899.856,26134.981,25907.779
590.608,26934.925,22951.327,24943.126,145.892,24963.519,45401.327,36704.481,32363.163,24014.096,27378.529,30844.99,29158.337,26948.904,24996.51,23732.413,34688.135,24903.173,28888.433,25997.279,25823.144
590.737,26948.204,23034.577,24991.3905,163.581,25024.538,45297.394,36766.077,32458.837,24050.308,27437.952,30859.452,29197.865,27037.51,24986.779,23760.356,34758.808,24941.865,28853.481,26055.317,25881.76
