lambda[nm],I_Ref_Start[au],I_Ref_Stop[au],I_Ref_Mean[au],I_Dunkel[au],I_70_70[au],I_70_80[au],I_70_90[au],I_70_100[au],I_70_110[au],I_70_120[au],I_70_130[au],I_70_140[au],I_90_70[au],I_90_80[au],I_90_90[au],I_90_100[au],I_90_110[au],I_90_120[au],I_90_130[au],I_90_140[au]
589.583,10829.817,9096.346,9963.0815,153.108,9886.606,19777.106,22326.404,12942.885,9222.596,10407.317,11583.077,10733.49,10724.337,9934.212,9364.538,13385.462,9584.644,11322.529,10076.913,10268.269
589.712,10844.355,9125.654,9985.0045,147.183,9884.971,19775.24,22428.423,12964.135,9224.26,10348.663,11570.673,10722.154,10738.298,9913.567,9337.577,13386.538,9576.462,11272.74,10070.49,10243.721
589.84,10795.409,9082.942,9939.1755,146.387,9842.135,19703.481,22356.192,12927.5,9198.817,10345.76,11547.154,10715.885,10707.356,9928.683,9343.481,13385.635,9551.0,11272.99,10039.192,10233.923
589.968,10816.559,9089.067,9952.812999999998,153.011,9884.135,19720.308,22312.596,12937.962,9194.99,10359.394,11604.51,10706.644,10734.663,9934.856,9344.394,13379.519,9561.817,11261.567,10055.029,10216.0
590.096,10849.419,9103.346,9976.3825,151.559,9902.49,19822.125,22440.317,12964.894,9247.817,10385.471,11605.183,10737.692,10788.212,9937.837,9374.942,13387.731,9569.519,11291.462,10063.365,10260.577
590.224,10778.495,9071.375,9924.935000000001,153.118,9866.212,19749.519,22438.26,12929.692,9185.615,10348.106,11596.827,10730.433,10730.471,9930.433,9351.279,13361.183,9569.125,11252.115,10054.808,10227.413
590.352,10890.806,9154.894,10022.85,174.774,9935.029,19855.625,22490.644,13038.077,9292.125,10414.173,11640.394,10796.558,10834.135,9992.548,9409.981,13464.798,9607.106,11343.904,10136.163,10321.471
590.48,10766.516,9084.413,9925.4645,151.505,9866.26,19791.5,22351.308,12962.99,9233.163,10353.462,11604.596,10730.5,10729.317,9948.673,9339.635,13370.058,9555.721,11286.635,10063.202,10233.731
590.608,10784.0,9079.135,9931.567500000001,145.892,9880.115,19765.298,22427.846,12928.173,9216.798,10346.654,11581.577,10710.865,10728.413,9939.288,9356.577,13352.587,9545.433,11278.519,10030.192,10222.192
590.737,10833.688,9092.721,9963.2045,163.581,9905.933,19812.923,22363.692,12953.99,9239.135,10359.683,11592.846,10742.019,10765.077,9983.817,9379.087,13374.327,9583.375,11276.5,10055.077,10274.481
590.865,10896.462,9176.519,10036.4905,150.097,9981.26,19852.481,22440.74,13066.356,9326.923,10436.192,11702.0,10838.423,10857.279,10038.538,9455.106,13413.115,9663.058,11338.135,10164.135,10355.808
590.993,10762.849,9016.25,9889.549500000001,148.624,9869.423,19755.712,22282.894,12957.644,9195.712,10309.808,11602.76,10701.288,10718.635,9911.413,9314.981,13314.029,9561.269,11213.462,9993.221,10227.413
591.121,10845.032,9092.49,9968.760999999999,152.882,9897.837,19729.981,22408.99,12975.933,9228.837,10389.615,11630.529,10743.24,10781.952,9960.279,9375.663,13375.433,9556.846,11236.933,10070.183,10267.24
591.249,10798.28,9069.413,9933.8465,145.989,9881.0,19811.865,22367.885,12982.125,9231.462,10339.596,11617.702,10726.154,10775.971,9960.058,9353.933,13339.288,9556.221,11230.135,10055.769,10236.99
591.377,10811.204,9061.212,9936.207999999999,151.57,9878.49,19780.981,22354.183,12999.442,9232.192,10318.173,11619.894,10757.779,10786.298,9968.462,9347.029,13367.394,9546.183,11220.913,10065.01,10242.394
591.505,10903.957,9158.327,10031.142,147.409,9975.279,19852.683,22428.481,13095.644,9329.644,10447.048,11700.202,10840.058,10865.096,10092.606,9451.942,13428.202,9682.106,11310.846,10190.433,10359.712
591.633,10790.925,9078.558,9934.7415,152.226,9878.913,19788.885,22292.308,13001.106,9251.538,10340.558,11656.712,10754.5,10786.913,9958.644,9366.067,13339.212,9563.337,11199.529,10041.712,10248.673
591.762,10825.871,9065.077,9945.473999999998,146.204,9881.308,19785.788,22463.74,13014.635,9259.683,10344.404,11644.298,10761.846,10787.596,10003.721,9353.154,13328.471,9583.692,11224.365,10072.115,10227.942
591.89,10810.258,9096.01,9953.134,154.935,9893.856,19766.577,22394.337,13012.404,9251.587,10350.865,11679.788,10781.471,10835.875,9993.856,9370.913,13340.029,9564.096,11223.519,10072.798,10286.087
592.018,10883.591,9146.74,10015.1655,156.516,9989.471,19907.904,22478.183,13134.077,9367.587,10473.577,11758.827,10879.5,10921.856,10077.596,9486.529,13393.933,9663.837,11310.981,10159.25,10350.163
592.146,10830.72,9085.337,9958.0285,152.785,9892.288,19829.01,22448.077,13094.029,9277.413,10373.99,11712.769,10798.452,10847.654,10032.433,9362.029,13380.029,9579.683,11214.135,10118.442,10296.606
592.274,10864.806,9095.692,9980.249,154.355,9909.442,19796.308,22449.462,13034.202,9286.615,10398.808,11670.538,10760.423,10828.663,10020.769,9374.769,13332.856,9594.077,11217.933,10108.365,10274.106
592.402,10805.699,9079.058,9942.3785,141.172,9874.365,19779.856,22434.99,13015.635,9275.587,10337.731,11657.269,10773.404,10850.067,10013.538,9363.125,13329.731,9577.481,11186.394,10099.971,10258.029
592.53,11011.0,9276.769,10143.8845,145.882,10104.827,20018.173,22614.923,13255.173,9476.5,10535.75,11854.452,10981.587,11002.24,10202.644,9532.308,13503.625,9774.106,11383.798,10262.923,10455.51
592.658,10911.172,9184.433,10047.802500000002,143.075,9970.279,19887.519,22491.317,13136.904,9377.394,10424.029,11776.048,10873.712,10894.538,10141.933,9462.644,13426.558,9667.144,11289.596,10173.077,10325.865
592.787,10878.957,9176.942,10027.949499999999,154.043,9983.038,19911.837,22540.0,13165.385,9324.183,10411.673,11769.163,10870.587,10936.308,10112.769,9436.644,13433.077,9682.192,11241.125,10173.288,10364.885
592.915,10935.355,9208.067,10071.711,164.462,10018.24,19955.154,22459.019,13188.231,9429.865,10483.673,11828.875,10923.663,10982.702,10160.587,9488.49,13500.962,9707.356,11256.154,10253.038,10402.654
593.043,10827.935,9085.308,9956.621500000001,136.054,9913.154,19878.596,22413.125,13136.471,9309.904,10381.183,11756.058,10815.346,10878.125,10071.808,9392.077,13380.356,9595.731,11210.538,10124.096,10310.779
593.171,10898.86,9190.462,10044.661,148.086,9993.154,19991.856,22462.01,13211.433,9351.904,10469.663,11809.106,10896.673,10909.423,10132.452,9435.577,13432.615,9638.596,11267.942,10188.365,10370.894
593.299,10887.538,9151.49,10019.514,140.312,9979.5,19983.933,22541.712,13197.827,9381.25,10424.942,11791.106,10882.163,10934.846,10126.375,9416.683,13415.058,9686.356,11244.971,10203.173,10364.192
593.427,10864.108,9167.894,10016.001,149.495,9948.423,19970.923,22554.913,13213.942,9390.913,10421.538,11791.462,10898.048,10958.49,10135.019,9448.288,13426.096,9674.221,11222.894,10184.731,10346.317
593.555,10894.871,9165.827,10030.348999999998,145.806,9998.058,20016.654,22620.875,13242.587,9390.01,10457.327,11823.962,10908.0,10949.125,10151.212,9455.654,13462.99,9657.769,11267.596,10227.308,10388.125
593.683,10916.022,9138.923,10027.4725,143.054,10017.952,20030.962,22585.212,13259.663,9401.462,10463.067,11845.702,10916.058,11009.154,10160.894,9457.096,13438.673,9707.731,11227.212,10228.952,10360.548
593.812,10898.871,9200.019,10049.445,140.086,10029.798,20092.904,22562.346,13254.423,9434.817,10496.375,11901.615,10948.885,11020.279,10158.625,9436.856,13492.837,9689.135,11258.75,10248.894,10393.981
593.94,10918.667,9220.779,10069.723,142.022,10043.212,20114.712,22622.894,13287.202,9449.779,10524.125,11922.644,10973.481,11021.577,10219.702,9459.298,13490.202,9707.75,11295.49,10236.346,10383.115
594.068,10929.398,9211.942,10070.669999999998,153.398,10064.394,20112.894,22573.894,13308.663,9451.721,10494.0,11904.077,11002.788,11044.269,10230.702,9488.231,13518.952,9755.038,11277.442,10262.894,10415.019
594.196,10942.914,9193.24,10068.077000000001,142.656,10046.298,20084.163,22701.702,13330.654,9448.423,10491.702,11918.115,10977.769,11022.192,10194.51,9466.635,13483.212,9718.663,11250.923,10278.529,10397.404
594.324,10934.419,9208.0,10071.2095,144.473,10062.654,20197.202,22579.712,13383.385,9507.231,10527.038,11976.346,11048.183,11092.837,10238.404,9518.596,13538.337,9793.26,11293.356,10274.894,10453.596
594.452,11152.86,9384.635,10268.747500000001,146.409,10241.577,20352.25,22845.644,13583.663,9690.904,10721.904,12149.837,11245.885,11275.0,10436.356,9703.894,13717.721,9969.423,11474.135,10496.317,10715.0
594.58,10990.118,9291.231,10140.674500000001,140.075,10111.942,20321.048,22644.163,13471.615,9578.24,10611.827,12025.087,11141.971,11171.365,10299.663,9566.769,13586.673,9826.654,11358.077,10361.5,10497.471
594.708,11061.785,9325.183,10193.484,144.914,10184.625,20368.144,22730.221,13508.26,9610.279,10627.365,12065.423,11152.913,11208.087,10333.135,9597.029,13649.644,9864.808,11375.048,10408.933,10576.683
594.837,11030.505,9297.702,10164.1035,147.527,10163.337,20355.962,22774.096,13531.962,9582.769,10620.481,12083.5,11132.231,11190.548,10339.875,9583.837,13640.606,9854.558,11364.981,10399.606,10536.952
594.965,11130.097,9372.942,10251.519499999999,154.484,10220.856,20430.99,22898.26,13610.163,9685.933,10719.885,12164.212,11243.769,11292.5,10426.837,9662.894,13746.654,9919.269,11464.029,10477.433,10658.327
595.093,11052.796,9326.375,10189.585500000001,138.452,10159.519,20435.904,22759.327,13586.01,9635.587,10648.231,12094.673,11195.962,11230.942,10422.394,9576.394,13684.654,9892.5,11381.423,10448.971,10591.317
595.221,11123.398,9413.692,10268.544999999998,142.839,10204.192,20557.798,22979.087,13690.74,9722.308,10739.529,12224.433,11279.24,11312.74,10472.683,9663.769,13750.596,9955.712,11476.596,10536.49,10672.913
595.349,11119.215,9400.654,10259.9345,145.258,10225.096,20531.442,22883.885,13680.144,9714.885,10708.192,12191.423,11266.913,11299.654,10453.827,9677.0,13718.346,9940.404,11442.99,10513.231,10653.981
595.477,11116.269,9385.913,10251.091,147.462,10256.538,20548.721,22837.683,13678.337,9710.875,10726.75,12238.913,11301.212,11335.26,10463.913,9665.625,13761.875,9956.24,11443.692,10508.317,10660.471
595.605,11121.731,9402.173,10261.952000000001,155.882,10268.423,20609.856,22973.087,13743.827,9744.625,10773.413,12278.356,11286.894,11365.25,10493.288,9713.471,13770.606,9989.76,11486.135,10538.923,10707.721
595.733,11142.237,9401.74,10271.9885,143.29,10259.212,20636.827,22922.404,13750.587,9750.25,10767.548,12282.433,11337.029,11381.221,10512.577,9718.481,13753.596,9979.183,11506.019,10551.192,10712.692
595.862,11146.677,9418.971,10282.824,145.86,10280.317,20684.163,22972.962,13796.192,9751.99,10803.587,12300.606,11355.865,11373.01,10536.51,9741.913,13785.644,10024.048,11522.596,10605.558,10721.365
595.99,11213.828,9457.519,10335.6735,148.204,10315.962,20693.721,22955.01,13793.038,9795.692,10822.587,12309.769,11371.154,11385.115,10554.51,9750.365,13793.163,10016.558,11517.115,10607.452,10762.673
596.118,11245.247,9486.067,10365.657,141.828,10361.385,20727.76,22990.25,13855.625,9836.058,10861.683,12387.385,11418.394,11468.077,10617.442,9788.587,13828.029,10038.337,11592.721,10658.462,10799.904
