lambda[nm],I_Ref_Start[au],I_Ref_Stop[au],I_Ref_Mean[au],I_Dunkel[au],I_70_70[au],I_70_80[au],I_70_90[au],I_70_100[au],I_70_110[au],I_70_120[au],I_70_130[au],I_70_140[au],I_90_70[au],I_90_80[au],I_90_90[au],I_90_100[au],I_90_110[au],I_90_120[au],I_90_130[au],I_90_140[au]
585.996,10428.914,9144.615,9786.764500000001,192.989,9661.596,18170.192,21660.779,12294.702,9086.452,10440.404,11798.327,11046.663,10387.654,9599.731,9212.087,13706.269,9786.865,11462.154,10094.827,10158.817
586.124,10231.989,8945.692,9588.840499999998,157.935,9454.125,17856.567,20974.558,12106.077,8899.712,10296.615,11561.067,10841.356,10154.606,9441.654,9038.644,13476.173,9594.76,11237.875,9912.135,9987.24
586.252,10245.699,8929.106,9587.4025,167.333,9476.385,17900.029,20949.933,12093.798,8851.933,10265.106,11581.24,10786.038,10171.385,9404.471,9026.933,13431.625,9591.029,11225.202,9893.981,9969.769
586.38,10260.667,8946.5,9603.5835,166.355,9495.625,17882.885,21099.01,12092.087,8890.462,10306.067,11611.885,10825.356,10204.192,9461.981,9085.087,13432.538,9605.567,11246.481,9932.0,9994.577
586.508,10294.978,8992.942,9643.96,149.065,9548.596,17956.087,21076.048,12142.971,8930.0,10296.692,11608.692,10879.442,10242.635,9471.981,9087.298,13493.423,9629.827,11292.115,9953.183,10007.365
586.637,10367.129,9065.192,9716.1605,162.215,9595.779,18025.452,21267.712,12267.865,9044.538,10410.635,11749.058,10937.538,10340.865,9619.615,9185.481,13561.692,9728.154,11376.615,10034.654,10120.077
586.765,10316.624,9003.692,9660.158,150.957,9557.962,18033.192,21232.942,12200.317,8985.423,10359.596,11692.615,10913.577,10289.24,9558.904,9145.433,13524.885,9674.788,11331.288,9974.769,10059.837
586.893,10375.559,9049.212,9712.3855,154.602,9555.279,18064.942,21304.019,12210.788,9002.885,10384.067,11730.952,10938.548,10339.019,9598.433,9168.106,13543.279,9699.567,11360.519,10012.163,10105.154
587.021,10428.667,9127.875,9778.271,155.505,9620.048,18069.058,21299.01,12247.058,9071.827,10455.298,11793.212,10983.173,10395.538,9613.51,9233.183,13604.538,9756.0,11421.654,10090.894,10150.558
587.149,10409.645,9064.029,9736.837,159.376,9607.183,18130.51,21418.548,12258.01,9066.654,10441.558,11780.413,10998.346,10391.596,9629.558,9202.712,13593.125,9758.635,11396.971,10064.135,10148.596
