Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD]
810;11.567958;11.489779;10.675729;11.001739;9.786210
820;11.531710;11.952200;12.134770;11.991829;11.475842
830;11.291091;10.466254;11.224448;11.567885;11.650816
840;11.874509;11.683248;11.544538;10.832740;11.250538
850;11.365525;11.049437;11.287999;11.984814;11.484211
860;11.976288;13.752175;11.305554;11.748020;10.969536
870;10.906415;10.276745;11.068294;10.774033;10.891208
880;10.841142;12.214495;11.274462;10.770398;9.999978
890;10.008228;10.329987;11.177302;11.084771;9.925945
900;11.285347;10.358904;10.471386;10.783548;10.532327
910;10.512383;10.023735;10.753554;10.094709;10.858407
920;10.285629;10.153722;9.183025;10.438120;10.019908
930;9.437469;9.771013;10.552518;9.901487;10.073788
940;10.107529;10.035485;10.419228;10.366610;10.794774
950;10.346707;10.654976;10.103765;9.999949;9.616310
960;10.200898;10.164386;9.175237;10.103793;10.546433
970;11.420993;9.540055;9.644107;9.781304;10.048017
980;10.311675;8.979148;9.759710;9.216543;10.319398
990;9.468552;10.791523;10.252153;10.945610;10.617128
1000;9.382162;9.594010;10.264506;7.726696;10.404560
1010;9.818040;10.287998;9.835299;8.199534;9.298774
1020;9.211199;9.413454;8.976435;9.824603;9.658286
1030;9.569241;9.450875;9.033633;9.249846;9.404934
1040;10.060882;9.737155;8.984661;8.608351;10.492536
1050;9.292247;9.118999;9.393130;9.941072;9.136322
1060;8.698615;8.472654;8.204751;7.722904;9.483056
1070;7.677022;7.988264;9.172595;9.413541;9.287363
1080;8.541913;9.369662;8.508472;8.817113;8.494881
1090;8.406458;8.995433;8.501188;9.569939;7.971016
1100;8.857901;9.649054;8.698662;8.436270;9.293886
1110;9.210984;8.603310;8.528737;7.990853;9.105035
1120;8.520673;8.116980;7.939775;8.081013;7.899574
1130;7.059517;8.632265;9.446400;8.924396;8.312140
1140;8.498874;8.036917;8.364887;7.057103;7.652397
1150;8.228583;9.432816;8.174405;7.351225;8.645529
1160;7.256946;8.545765;7.197389;7.750433;8.026785
1170;7.554976;7.782054;8.231819;7.976402;6.525933
1180;8.106214;8.682876;7.954464;7.297514;8.767228
1190;7.000223;8.020664;8.158641;8.103818;8.239442
1200;7.435713;7.846906;7.710976;7.329319;7.937095
1210;7.785272;7.681954;6.607645;6.704055;6.750457
1220;7.453591;7.774836;7.680143;7.562417;7.866204
1230;6.468851;6.393928;8.425688;7.193934;7.805850
1240;6.785713;7.366897;7.676197;7.410474;7.292905
1250;6.524035;7.487634;7.648992;7.953811;7.246057
1260;7.263664;6.803368;6.808003;6.445408;7.037360
1270;8.125280;7.326157;6.638730;8.118007;7.059305
1280;6.885758;6.669711;6.688204;8.339616;6.313221
1290;7.215389;7.359313;6.915074;7.858859;6.147006
1300;6.847170;6.963919;6.942487;5.658383;6.042653
1310;6.730457;6.069333;6.648680;7.449571;8.634866
1320;5.706762;6.744468;8.030616;5.459637;7.656135
1330;5.688793;6.485999;6.951822;7.774693;6.381066
1340;7.196392;6.449755;6.913086;5.825256;7.767125
1350;7.505553;6.126088;6.729447;6.023402;6.575227
1360;7.549006;7.608233;6.160156;6.915041;6.599222
1370;6.906900;6.351786;6.779747;6.564292;7.216250
1380;6.189406;5.784955;5.670758;5.815262;7.005608
1390;7.189968;6.080551;6.542814;6.353774;5.921405
1400;6.553329;6.443186;6.055540;6.390201;5.681254
1410;6.311471;5.900841;6.182111;6.692785;5.430324
1420;6.224631;6.283205;6.591392;7.102428;5.419337
1430;5.367974;6.212952;4.379185;6.068377;5.426204
1440;5.795603;5.373135;6.359925;6.413041;5.541399
1450;5.369257;5.959016;5.317535;5.500159;6.026735
1460;5.474176;6.699786;5.228151;5.512162;5.354564
1470;6.039430;5.346106;5.367816;5.950746;5.160053
1480;5.974846;6.464403;4.797624;5.681237;5.972484
1490;5.734170;5.942067;6.048104;5.814341;5.190700
1500;5.549409;4.059200;5.130521;5.746239;4.519750
1510;4.886709;5.187141;5.943973;4.552324;5.417795
1520;5.558673;6.193706;5.841306;5.519907;6.625804
1530;5.636504;5.632753;5.810421;5.431204;5.511837
1540;6.551450;6.893046;5.436288;5.516838;5.637013
1550;4.699595;5.260565;5.279876;5.264751;5.527016
1560;5.128262;5.089115;5.341781;3.887232;5.517308
1570;6.030017;3.620089;4.627793;5.411305;5.777434
1580;5.584988;5.216976;5.634503;4.842831;4.866118
1590;5.413119;5.431660;4.690138;5.336960;5.597706
1600;5.020114;4.816676;4.889695;5.095692;5.058140
1610;4.958358;3.631162;4.963922;4.866333;5.847489
1620;5.377226;4.317797;4.208452;5.239196;6.051629
1630;4.929556;4.960265;5.562507;5.498969;5.037066
1640;4.714094;3.892422;5.319185;3.644669;3.564158
1650;5.083532;5.410496;4.524836;4.909013;4.755924
1660;4.293144;4.676204;5.126624;4.696662;4.696564
1670;4.891436;5.286268;3.440905;3.150866;4.868482
1680;4.045651;5.000602;5.122493;5.030912;4.503771
1690;4.577348;4.840695;4.984265;3.876847;5.164848
1700;3.643491;4.645662;3.610573;5.010621;3.893593
1710;5.310531;4.733404;3.707020;5.337093;4.554207
1720;4.210897;3.512638;4.884746;4.138936;3.094596
1730;4.021024;4.911467;3.740574;4.868261;3.953397
1740;3.739574;4.021060;3.922538;5.036754;4.294783
1750;4.295268;4.476000;4.138090;4.779072;4.076960
1760;3.729827;3.458307;4.437088;4.067388;4.041295
1770;3.503079;3.917965;4.144737;4.200283;3.688010
1780;3.689136;4.426811;3.846884;4.488354;4.398838
1790;3.850273;4.557783;3.697748;4.204520;4.192270
1800;4.271771;4.726028;3.675982;3.640992;4.277073
1810;3.656727;4.215265;3.056855;2.367483;3.980360
1820;4.560660;4.115801;4.434300;4.861661;4.308067
1830;4.268625;4.261230;3.075555;3.660428;4.202654
1840;4.866967;4.192768;4.055413;3.629269;4.356140
1850;3.808188;3.925641;3.195711;4.595947;4.863795
1860;3.464492;4.395591;4.220340;3.355637;3.051072
1870;3.496967;2.695437;4.237896;3.843496;4.081449
1880;2.920124;3.928455;4.036144;3.799237;3.110635
1890;2.654671;4.188947;3.187574;3.092380;4.952406
1900;3.686608;4.769631;4.226377;3.572892;3.029639
1910;3.579068;3.249055;3.477154;3.309152;3.774876
1920;3.272177;3.475480;3.746977;3.583743;2.910505
1930;3.570482;4.077691;4.087479;3.054273;3.996792
