Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD]
690;7.614571;8.230355;7.662866;7.307340;7.840878
700;8.529974;7.946360;7.918760;7.852371;7.688868
710;7.531047;7.689164;7.838652;7.691592;7.069178
720;7.839370;7.275298;7.694585;6.877676;6.784748
730;6.808939;7.476100;7.601072;7.256963;6.934994
740;7.791417;7.671626;7.997332;7.565963;7.269922
750;7.244609;7.482682;7.197557;7.333617;7.577851
760;8.229971;7.443341;6.980868;7.044636;6.880823
770;7.564387;7.038472;6.824920;6.567424;7.018995
780;7.169176;6.486867;6.140238;7.236047;6.986474
790;6.806199;7.288125;7.083400;6.697242;7.262120
800;6.432460;6.924466;7.103987;7.186910;6.919912
810;6.616109;6.784366;6.713461;6.157293;6.988819
820;6.444114;6.548305;6.911535;6.459380;6.524785
830;6.684682;6.735035;6.602383;6.653236;6.374632
840;6.353162;6.778652;5.842883;6.232272;6.970310
850;6.155879;6.153967;6.150310;6.663272;6.156122
860;6.169947;6.103193;5.976989;5.990386;6.436601
870;6.713979;6.779574;5.574144;6.410665;6.414415
880;6.028995;6.572482;6.301291;5.884470;5.919622
890;6.141428;6.198139;5.630046;6.319838;5.308996
900;6.289658;5.999425;6.281590;5.558048;6.287101
910;6.254176;5.820315;5.741993;5.630371;5.352586
920;7.104031;5.909342;5.633019;5.862529;6.588416
930;6.062399;5.671575;5.890788;6.920892;5.354811
940;5.920666;5.672040;5.780708;5.709906;5.918788
950;5.905236;5.716848;5.703661;5.235541;5.353703
960;6.204657;5.606202;5.434228;5.223046;5.551816
970;5.824412;6.364319;5.556024;4.867653;5.749649
980;5.691487;5.482658;4.574489;5.441032;5.775681
990;5.317392;5.860305;5.505204;5.687089;5.490935
1000;5.466373;4.620324;5.443213;5.169297;4.630267
1010;4.795784;5.858560;4.731294;5.330704;6.062099
1020;5.424351;5.542020;5.745344;5.185250;5.246327
1030;6.276210;4.676521;5.312164;4.772721;5.483237
1040;4.810975;5.010550;5.314974;4.599980;4.774081
1050;5.308418;5.124403;5.133742;4.446224;4.690785
1060;5.057548;4.979047;4.935137;4.921891;4.601335
1070;5.101716;4.907561;5.133538;5.045649;5.037510
1080;5.951999;4.987612;4.412639;4.214282;4.315910
1090;5.084124;5.092929;4.502144;4.962131;4.519880
1100;4.935412;4.497691;4.720497;4.669948;4.667874
1110;4.963188;4.650430;4.749144;4.998052;5.414435
1120;4.749807;5.668569;5.055342;4.526993;4.059035
1130;4.718697;4.544349;5.075526;4.718655;4.578414
1140;4.431817;4.481373;4.170933;4.488490;5.620798
1150;3.715158;4.482051;4.113617;4.983015;4.573845
1160;4.252333;4.737056;4.319707;4.582148;4.930364
1170;4.928043;4.403379;4.076110;4.159184;3.869732
1180;4.844269;4.378685;4.062985;4.038511;4.437436
1190;3.796372;4.030890;4.317646;4.369587;4.223161
1200;4.825406;4.294904;4.807048;4.096544;4.283762
1210;4.163798;3.670415;4.536621;4.366450;4.567767
1220;4.296284;4.235135;4.477475;3.691545;3.888855
1230;3.886645;3.904093;4.811664;4.125630;4.500279
1240;4.068773;4.482901;3.936787;3.903571;4.619332
1250;3.830297;4.670500;4.172843;3.961010;3.900900
1260;4.246695;3.432640;4.200789;3.875649;4.074516
1270;4.437048;4.023261;3.494096;3.325101;4.528160
