lambda[nm],I_Ref[au],I_Dunkel[au],I_70_70[au],I_70_80[au],I_70_90[au],I_70_100[au],I_70_110[au],I_70_120[au],I_70_130[au],I_70_140[au],I_90_70[au],I_90_80[au],I_90_90[au],I_90_100[au],I_90_110[au],I_90_120[au],I_90_130[au],I_90_140[au]
590.096,1539.371,104.082,3217.928,3223.784,3072.402,2080.433,1978.237,2009.773,1991.464,2142.443,2406.165,2088.227,1774.649,1858.608,1773.67,1886.804,1841.052,2034.454
590.224,1533.66,103.052,3198.701,3184.227,3060.948,2086.144,1975.907,2006.629,1993.0,2147.567,2407.876,2084.031,1774.835,1872.814,1774.835,1895.567,1844.371,2030.041
590.352,1533.082,104.113,3227.175,3240.093,3128.371,2078.825,1976.216,2011.01,2001.814,2146.959,2410.186,2097.866,1777.804,1875.155,1780.454,1884.072,1841.67,2032.32
590.48,1537.711,102.649,3187.216,3199.546,3074.495,2083.763,1986.928,2005.887,1991.196,2154.598,2423.464,2098.206,1781.979,1877.144,1777.175,1887.309,1835.01,2041.227
590.608,1541.515,102.443,3241.928,3234.629,3087.237,2079.103,1978.103,2024.887,1994.34,2154.928,2430.103,2109.742,1790.454,1882.629,1785.165,1888.588,1834.103,2029.629
590.737,1516.938,104.031,3226.175,3227.99,3093.691,2077.505,1981.227,1991.237,1983.629,2127.845,2409.392,2096.928,1778.959,1862.536,1767.155,1870.701,1835.155,2012.732
590.865,1539.021,103.629,3359.639,3350.361,3236.144,2079.856,1983.588,2014.619,1996.082,2135.649,2452.567,2111.103,1786.969,1884.515,1784.959,1882.608,1843.928,2044.804
590.993,1541.546,104.113,3212.216,3220.474,3067.299,2094.021,1994.536,2006.433,1991.773,2153.546,2435.247,2114.052,1797.464,1874.897,1793.247,1905.433,1839.124,2032.01
591.121,1535.979,102.639,3293.515,3284.464,3162.938,2089.515,1990.608,2014.072,2005.227,2148.206,2426.103,2111.835,1776.526,1877.247,1768.835,1892.34,1832.237,2046.32
591.249,1537.165,102.67,3245.309,3226.454,3116.381,2087.876,1997.32,2012.742,2016.732,2153.979,2453.196,2135.113,1804.495,1891.423,1776.629,1887.495,1840.443,2033.938
591.377,1539.474,102.299,3221.907,3226.866,3106.206,2085.784,1994.103,2024.505,1996.433,2154.784,2451.773,2121.814,1784.887,1881.093,1781.794,1886.309,1841.876,2020.206
591.505,1529.361,103.794,3372.804,3367.918,3264.526,2090.814,1994.515,2017.691,2001.763,2156.546,2442.577,2126.948,1793.155,1884.371,1771.804,1893.289,1852.66,2031.68
591.633,1532.691,103.402,3278.742,3234.34,3128.608,2084.371,1996.536,2017.381,2008.402,2159.66,2473.67,2131.402,1791.742,1880.041,1777.577,1884.979,1843.34,2035.392
591.762,1548.845,103.113,3244.742,3260.052,3113.763,2115.536,2010.928,2038.515,2016.722,2177.722,2469.619,2144.402,1814.598,1892.732,1798.691,1903.897,1855.536,2029.639
591.89,1536.206,103.175,3259.258,3249.351,3122.794,2112.588,2002.99,2042.062,2017.608,2176.206,2528.794,2158.021,1806.763,1899.186,1798.567,1903.289,1858.732,2059.082
592.018,1532.546,104.052,3383.351,3361.588,3248.216,2101.897,1995.866,2038.845,2018.722,2174.392,2467.443,2147.567,1803.258,1886.041,1777.093,1899.392,1846.495,2030.835
592.146,1536.423,102.845,3248.959,3247.082,3121.701,2099.052,2001.969,2019.0,2010.526,2186.557,2470.082,2146.113,1801.041,1894.68,1784.34,1902.629,1862.093,2050.505
592.274,1550.649,103.196,3288.619,3267.0,3146.155,2117.103,2011.495,2043.876,2039.485,2189.887,2497.113,2170.0,1797.01,1899.144,1793.186,1916.897,1865.557,2072.33
592.402,1535.711,104.289,3254.67,3218.526,3121.742,2107.722,2010.629,2040.608,2019.732,2169.113,2465.866,2155.464,1790.134,1897.361,1796.454,1901.876,1858.144,2053.701
592.53,1532.464,104.216,3464.732,3435.351,3313.175,2116.67,2007.948,2039.041,2017.608,2163.701,2496.773,2152.588,1800.495,1893.876,1791.577,1897.67,1840.485,2050.155
592.658,1533.99,103.979,3331.557,3319.701,3216.381,2112.887,2019.918,2040.907,2022.907,2169.34,2590.979,2162.619,1818.474,1899.227,1801.825,1896.753,1856.423,2056.99
592.787,1536.155,104.021,3306.247,3283.093,3170.887,2121.103,2006.969,2044.412,2028.546,2194.412,2519.825,2175.794,1816.278,1902.165,1805.196,1908.918,1866.093,2065.299
592.915,1542.186,103.227,3349.443,3349.474,3222.021,2125.0,2019.876,2044.0,2035.165,2191.423,2560.835,2185.196,1809.268,1912.711,1797.505,1923.052,1854.258,2050.515
593.043,1553.289,102.289,3274.701,3272.031,3142.732,2121.072,2019.155,2050.216,2044.402,2196.68,2498.608,2178.227,1817.567,1904.134,1807.186,1916.196,1865.907,2072.505
593.171,1528.711,103.268,3312.186,3279.433,3160.639,2117.887,2024.577,2044.216,2033.289,2191.515,2515.835,2193.649,1819.722,1897.742,1800.918,1909.0,1861.34,2055.412
