Laser Delay [ns];TA [mOD]
-400;-0.036826
-390;-0.139975
-380;-0.192222
-370;-0.123572
-360;-0.153205
-350;-0.258672
-340;-0.113023
-330;0.040216
-320;-0.129678
-310;-0.326701
-300;-0.040932
-290;-0.096011
-280;0.022912
-270;-0.225889
-260;-0.070634
-250;-0.195101
-240;-0.019143
-230;-0.225927
-220;-0.185150
-210;-0.211404
-200;-0.232784
-190;-0.184548
-180;-0.171213
-170;-0.079135
-160;-0.170561
-150;-0.180486
-140;0.006517
-130;-0.281088
-120;-0.234307
-110;-0.020323
-100;-0.394994
-90;0.002588
-80;-0.194376
-70;-0.083838
-60;-0.096711
-50;-0.132825
-40;-0.133042
-30;0.001401
-20;0.269293
-10;0.954690
0;1.890421
10;2.555653
20;3.537324
30;4.456642
40;5.325193
50;6.030559
60;7.007559
70;7.704323
80;8.563974
90;9.289650
100;9.790011
110;10.293229
120;10.174147
130;10.095658
140;9.961401
150;9.787197
160;9.734995
170;9.662333
180;9.473021
190;9.425465
200;9.235585
210;9.187868
220;8.951516
230;8.977158
240;8.672397
250;8.671606
260;8.482180
270;8.382734
280;8.205979
290;8.287800
300;8.164002
310;8.050359
320;7.934949
330;7.761749
340;7.870147
350;7.633026
360;7.631406
370;7.503327
380;7.399515
390;7.322894
400;7.279867
410;7.173377
420;7.113646
430;6.934142
440;6.938029
450;6.909423
460;6.593563
470;6.751910
480;6.555354
490;6.354033
500;6.312783
510;6.397261
520;6.348752
530;6.113940
540;6.055988
550;5.848871
560;5.773115
570;5.850335
580;5.831785
590;5.675358
600;5.688014
610;5.636835
620;5.670479
630;5.510176
640;5.372949
650;5.499403
660;5.184041
670;5.074719
680;5.083723
690;5.135902
700;5.165004
710;5.055421
720;4.963765
730;4.782449
740;4.930263
750;4.674617
760;4.856198
770;4.658119
780;4.721193
790;4.591261
800;4.456630
810;4.309759
820;4.387678
830;4.343516
840;4.257457
850;4.338014
860;4.203184
870;4.424183
880;4.301669
890;4.033049
900;3.906085
910;4.051127
920;3.972821
930;3.913957
940;3.937385
950;3.899143
960;3.871055
970;3.610509
980;3.764754
990;3.789676
1000;3.558490
1010;3.765837
1020;3.610824
1030;3.600726
1040;3.620770
1050;3.503871
1060;3.383662
1070;3.469153
1080;3.362425
1090;3.242659
1100;3.282496
1110;3.283615
1120;3.308469
1130;3.325738
1140;3.123105
1150;3.174401
1160;3.122546
1170;3.108081
1180;3.078369
1190;3.134342
1200;3.155061
1210;3.128375
1220;2.795196
1230;2.831054
1240;3.048434
1250;2.876790
1260;2.861704
1270;2.800485
1280;2.739904
1290;2.807100
1300;2.855185
1310;2.657378
1320;2.672875
1330;2.794862
1340;2.591151
1350;2.633713
1360;2.737864
1370;2.735329
1380;2.557574
1390;2.396396
1400;2.406254
1410;2.570514
1420;2.615387
1430;2.394118
1440;2.414516
1450;2.435095
1460;2.425854
1470;2.502589
1480;2.567145
1490;2.243538
1500;2.298887
1510;2.515056
1520;2.426212
1530;2.165616
1540;2.203160
1550;2.321031
1560;2.217565
1570;2.146441
1580;2.278744
1590;2.156380
1600;2.253391
1610;2.212108
1620;2.287326
1630;2.259977
1640;2.113119
1650;2.202521
1660;1.931313
1670;1.792403
1680;1.882072
1690;2.110362
1700;2.205084
1710;2.152293
1720;2.101002
1730;1.881047
1740;1.972758
1750;1.826998
1760;1.902723
1770;1.985787
1780;1.905981
1790;2.050280
1800;1.937488
1810;1.965509
1820;1.772247
1830;1.927460
1840;1.945273
1850;1.831243
1860;1.981790
1870;1.715351
1880;1.841579
1890;1.690409
1900;1.798946
1910;1.557581
1920;1.848632
1930;1.770460
1940;1.640640
1950;1.877076
1960;1.641306
1970;1.871600
1980;1.638341
1990;1.668922
2000;1.733228
2010;1.731418
2020;1.674048
2030;1.802451
2040;1.762259
2050;1.617262
2060;1.636195
2070;1.754835
2080;1.589236
2090;1.487584
2100;1.589754
2110;1.540005
2120;1.567041
2130;1.593843
2140;1.514255
2150;1.599668
2160;1.424777
2170;1.564025
2180;1.637372
2190;1.534303
2200;1.572967
2210;1.668505
2220;1.429643
2230;1.588627
2240;1.743711
2250;1.458273
2260;1.562627
2270;1.561346
2280;1.512815
2290;1.515322
2300;1.389058
2310;1.491573
2320;1.296280
2330;1.347047
2340;1.361825
2350;1.649978
2360;1.316873
2370;1.276778
2380;1.401363
2390;1.293924
2400;1.335768
2410;1.497169
2420;1.333177
2430;1.310894
2440;1.389003
2450;1.507740
2460;1.481630
2470;1.369501
2480;1.364890
2490;1.353820
2500;1.216061
2510;1.455038
2520;1.548085
2530;1.373308
2540;1.453000
2550;1.343623
2560;1.438579
2570;1.392494
2580;1.343513
2590;1.430263
2600;1.312471
2610;1.497645
2620;1.368463
2630;1.380698
2640;1.453704
2650;1.242843
2660;1.412639
2670;1.558199
2680;1.318842
2690;1.352324
2700;1.343329
2710;1.511408
2720;1.229251
2730;1.331673
2740;1.193098
2750;1.266512
2760;1.322607
2770;1.206679
2780;1.308249
2790;1.375091
2800;1.211350
2810;1.320670
2820;1.172206
2830;1.138087
2840;1.171369
2850;1.341995
2860;1.262051
2870;1.134401
2880;1.317862
2890;1.315810
2900;1.240299
2910;1.175541
2920;1.477344
2930;1.177580
2940;1.436677
2950;1.213995
2960;1.391854
2970;1.290645
2980;1.260728
2990;1.141733
3000;1.189628
3010;1.312430
3020;1.422429
3030;1.253985
3040;1.527860
3050;1.223739
3060;1.305872
3070;1.229682
3080;1.211778
3090;1.194115
3100;1.273454
3110;1.123238
3120;1.343910
3130;1.261045
3140;1.347571
3150;1.369242
3160;1.259758
3170;1.216206
3180;1.211462
3190;1.254291
3200;1.161996
3210;1.101606
3220;1.176645
3230;1.027258
3240;1.111904
3250;1.024909
3260;1.122090
3270;1.174292
3280;1.097439
3290;1.084472
3300;1.258767
3310;1.251431
3320;1.296501
3330;1.231891
3340;1.074170
3350;1.235957
3360;1.316666
3370;0.909925
3380;1.185802
3390;1.284586
3400;1.392823
3410;1.233873
3420;1.230359
3430;1.098267
3440;1.288139
3450;1.132500
3460;1.256251
3470;1.139631
3480;1.191850
3490;1.045690
3500;0.960650
3510;1.186000
3520;0.955585
3530;1.184697
3540;1.137487
3550;1.069424
3560;1.139761
3570;1.258240
3580;1.109804
3590;0.993677
3600;1.172520
3610;1.087456
3620;1.021802
3630;1.016175
3640;1.059780
3650;1.275823
3660;1.238970
3670;1.044962
3680;1.111613
3690;1.133100
3700;1.067270
3710;1.061012
3720;1.218493
3730;1.057209
3740;1.120794
3750;1.143359
3760;1.282310
3770;0.964143
3780;1.110515
3790;1.188874
3800;1.110475
3810;1.053264
