Laser Delay [ns];TA [mOD]
3660;0.785090
3670;0.773042
3680;0.985285
3690;0.327688
3700;0.618143
3710;0.681612
3720;0.720736
3730;0.710405
3740;0.838748
3750;0.430086
3760;0.513143
3770;0.423702
3780;0.783290
3790;0.489276
3800;0.861877
3810;0.978591
3820;0.655211
3830;1.051938
3840;0.817841
3850;0.876968
3860;0.708113
3870;0.854805
3880;0.864976
3890;0.794190
3900;0.654718
3910;0.693784
3920;0.808911
3930;0.547611
3940;1.029299
3950;0.638854
3960;0.336905
3970;0.736544
3980;0.913949
3990;0.945313
4000;0.485603
4010;0.715188
4020;0.830843
4030;0.391157
4040;0.908729
4050;0.926733
4060;0.917630
4070;0.492906
4080;0.527974
4090;0.712198
4100;0.772292
4110;0.772121
4120;0.820974
4130;0.450423
4140;0.720873
4150;0.758906
4160;0.547186
4170;0.733464
4180;0.750934
4190;0.809631
4200;0.728586
4210;0.599672
4220;0.810509
4230;1.106450
4240;0.348310
4250;0.691018
4260;0.895870
4270;0.767044
4280;0.592072
4290;0.364389
4300;0.825555
4310;0.429768
4320;0.596782
4330;0.580944
4340;0.773817
4350;0.652439
4360;0.742640
4370;0.582703
4380;0.583679
4390;0.820135
4400;0.690322
4410;0.564510
4420;1.081082
4430;0.815340
4440;0.565971
4450;0.476604
4460;0.649569
4470;0.596250
4480;0.720397
4490;0.154601
4500;0.725275
4510;0.694836
4520;0.529334
4530;0.311655
4540;0.422985
4550;0.726059
4560;0.466002
4570;0.865099
4580;0.340412
4590;0.576960
4600;0.536103
4610;0.905895
4620;0.376904
4630;0.437364
4640;0.982678
4650;0.570604
4660;0.862113
4670;0.632934
4680;0.281513
4690;0.384585
4700;0.670418
4710;0.622247
4720;0.529538
4730;0.523638
4740;0.210831
4750;0.418282
4760;0.713624
4770;0.505912
4780;0.428338
4790;0.814333
4800;0.369722
4810;0.951604
4820;0.497673
4830;0.427407
4840;0.677442
4850;0.630788
4860;0.590195
4870;0.752680
4880;0.658633
4890;0.714657
4900;0.826631
4910;0.635443
4920;0.588216
4930;0.527875
4940;0.722954
4950;0.547415
4960;0.686792
4970;0.629710
4980;0.654560
4990;0.275791
5000;0.707815
