Laser Delay [ns];TA [mOD]
-200;0.072819
-190;-0.225202
-180;0.520584
-170;1.090903
-160;-0.096506
-150;-1.143921
-140;0.036970
-130;0.103471
-120;-0.003906
-110;0.526533
-100;0.050396
-90;-0.361720
-80;-0.547480
-70;0.816040
-60;1.033396
-50;-0.092736
-40;-0.649141
-30;0.133445
-20;1.380237
-10;4.759548
0;6.771705
10;9.740856
20;13.492333
30;16.344058
40;19.492950
50;23.187482
60;25.028443
70;25.540770
80;24.029075
90;23.982634
100;24.533647
110;24.142620
120;23.685760
130;23.028777
140;22.954276
150;22.791953
160;23.107156
170;22.303594
180;21.852948
190;21.731296
200;21.568158
210;21.946731
220;20.676100
230;20.220870
240;20.442259
250;20.686046
260;20.310873
270;20.391140
280;19.241990
290;19.313170
300;19.743745
310;19.288188
320;19.187884
330;17.978916
340;18.738954
350;17.943997
360;18.989272
370;18.144754
380;18.746977
390;17.336895
400;17.572185
410;17.209585
420;16.203491
430;17.586795
440;16.592224
450;16.140097
460;16.307733
470;15.542445
480;15.681838
490;15.360161
500;15.416003
