c (mg/ml),d (nm)
300,3698.5
300,3611.6
300,3684.7
300,3645
300,3630.9
300,3667.2
250,2678.8
250,2726.4
250,2711.9
250,2679.9
250,2689.4
250,2764.1
200,1672.1
200,1728
200,1720.4
200,1693.4
200,1701.6
200,1698.8
150,972
150,975.7
150,973.3
150,978.1
150,980.3
150,970.8
100,538.2
100,532.4
100,539.5
100,541.6
100,541.8
100,541.6
50,60.4
50,61.4
50,59
50,60.8
50,60.4
50,61.8
25,60.4
25,61.5
25,59
25,59
25,60.8
25,60.4
25,61.8
