Laser Delay [ns];TA [mOD]
-200;0.000604
-190;0.030432
-180;-0.548075
-170;0.257567
-160;-0.090675
-150;-0.037400
-140;-0.267699
-130;-0.010826
-120;-0.086560
-110;0.008777
-100;-0.155358
-90;0.192102
-80;-0.111124
-70;-0.799962
-60;0.729600
-50;0.336471
-40;-0.115163
-30;0.059167
-20;0.959105
-10;3.417799
0;6.465931
10;9.655017
20;12.747235
30;17.056044
40;19.394761
50;22.313340
60;25.207780
70;28.101920
80;31.282354
90;33.216188
100;33.904367
110;33.372414
120;33.480760
130;33.144151
140;31.788025
150;31.369787
160;31.888395
170;31.708281
180;31.553458
190;30.541460
200;30.967646
210;30.766726
220;29.374701
230;29.219406
240;28.887203
250;29.242054
260;29.002101
270;28.142305
280;28.920375
290;27.724258
300;27.636603
310;26.034182
320;26.549835
330;27.106091
340;25.842111
350;25.457830
360;26.054235
370;25.494381
380;25.343763
390;25.284566
400;24.558099
410;24.550305
420;24.849860
430;23.464732
440;23.571945
450;23.277740
460;22.551270
470;23.484585
480;22.534950
490;22.508635
500;22.085851
