(benzonitrile)Wavelength (nm),(benzonitrile)Abs,(benzonitrile-13)Wavelength (nm),(benzonitrile-13)Abs,(benzonitrile-15)Wavelength (nm),(benzonitrile-15)Abs,(Toluene)Wavelength (nm),(Toluene)Abs,(Toluene-14)Wavelength (nm),(Toluene-14)Abs,
745,0.04825411737,745,0.007582420018,745,0.02024589106,745,0.03042289428,745,-0.000539335655,
744,0.04828738794,744,0.007547729183,744,0.02025858313,744,0.03045401908,744,-0.0005998294218,
743,0.04831186309,743,0.007535296958,743,0.0201861728,743,0.03046365455,743,-0.0006191132707,
742,0.0482997112,742,0.007669172715,742,0.02018243074,742,0.03039535321,742,-0.0005812685704,
741,0.04822215438,741,0.007497475948,741,0.02012990788,741,0.03036975674,741,-0.0005848876899,
740,0.0481932573,740,0.007585212123,740,0.02025776915,740,0.03039485402,740,-0.0005978647969,
739,0.0482901074,739,0.007603493985,739,0.020362854,739,0.03037855774,739,-0.0005995192332,
738,0.04831469804,738,0.00762119703,738,0.02034031041,738,0.03047873266,738,-0.0006783036515,
737,0.04826325923,737,0.007616981864,737,0.02023656107,737,0.03039438091,737,-0.000615494384,
736,0.04826268181,736,0.007490522694,736,0.0202230271,736,0.03039163351,736,-0.0006540598115,
735,0.04832861573,735,0.007655709516,735,0.02027838305,735,0.03030513413,735,-0.0006089803064,
734,0.04825255647,734,0.007617798634,734,0.02023935504,734,0.03042500466,734,-0.0006471844972,
733,0.04819921777,733,0.007563375402,733,0.02023959905,733,0.03035298921,733,-0.0006334851496,
732,0.04830497503,732,0.007537798956,732,0.02033713646,732,0.03036700748,732,-0.0006144603831,
731,0.04825076088,731,0.007564587053,731,0.02028093301,731,0.03033822216,731,-0.0007046653191,
730,0.0482779257,730,0.007655419409,730,0.02033108659,730,0.03042603098,730,-0.0006571614649,
729,0.04826213047,729,0.007578416262,729,0.0202645231,729,0.03025756218,729,-0.0006924667978,
728,0.04827263206,728,0.007619300392,728,0.02025953308,728,0.03032711893,728,-0.0007758339052,
727,0.0482323356,727,0.007623910438,727,0.02034568042,727,0.03029758483,727,-0.0006579368492,
726,0.04834056273,726,0.00767386239,726,0.02044826187,726,0.03055410087,726,-0.0005816304474,
725,0.04821532592,725,0.007609684486,725,0.02039752528,725,0.03035357222,725,-0.000649355643,
724,0.04830179363,724,0.007637029979,724,0.02043610625,724,0.03048378602,724,-0.0006658976199,
723,0.04831571132,723,0.007679948583,723,0.02047914267,723,0.03046543151,723,-0.000650337839,
722,0.04836735874,722,0.007689354941,722,0.0204837285,722,0.03055523895,722,-0.0006012770464,
721,0.04828950018,721,0.007655656431,721,0.0204507038,721,0.03049658798,721,-0.0006867292104,
720,0.04830000177,720,0.007648833096,720,0.0205755122,720,0.03060140088,720,-0.0005806481349,
719,0.04829606414,719,0.007537272293,719,0.02046459727,719,0.03053252213,719,-0.0007254951051,
718,0.04831287637,718,0.007614900824,718,0.0205386281,718,0.03064628877,718,-0.000667913584,
717,0.04829690605,717,0.007567036431,717,0.02055119351,717,0.03066859581,717,-0.0007217737148,
716,0.04835951701,716,0.007621908095,716,0.02056202292,716,0.03066192754,716,-0.0006913296529,
715,0.04836767539,715,0.007651309483,715,0.02062618919,715,0.03069940396,715,-0.0007169152377,
714,0.04845272377,714,0.007641376927,714,0.02065971494,714,0.0307709761,714,-0.0006745301653,
713,0.04847579077,713,0.007613504305,713,0.02066454664,713,0.0307206586,713,-0.0007186208968,
712,0.04848181084,712,0.007677919697,712,0.02071246505,712,0.03072721511,712,-0.0007183107664,
711,0.04848609492,711,0.007592746057,711,0.0206486918,711,0.03060495481,711,-0.0007629137835,
710,0.04850554466,710,0.0076747844,710,0.02074898407,710,0.03063170426,710,-0.0007095239707,
709,0.04856364056,709,0.007705454249,709,0.02076723054,709,0.03063903749,709,-0.0006818703259,
708,0.04855110869,708,0.007585001644,708,0.02071941458,708,0.0305005312,708,-0.0007439464098,
707,0.04858868197,707,0.007596591953,707,0.02079460211,707,0.03054010309,707,-0.0007838441525,
706,0.0485566929,706,0.007619273849,706,0.02087287232,706,0.03052069061,706,-0.0007130904123,
705,0.04855579883,705,0.007674099412,705,0.02093988098,705,0.03048845008,705,-0.0007158297813,
704,0.04849503934,704,0.007630970795,704,0.02087949961,704,0.03039560281,704,-0.0007418791065,
703,0.04842838645,703,0.007688195445,703,0.02097269706,703,0.03051236086,703,-0.0006938106962,
702,0.04851266742,702,0.007650281768,702,0.02099589817,702,0.03048684075,702,-0.0006953097181,
701,0.04842856154,701,0.007635897491,701,0.02099853382,701,0.03045693412,701,-0.0007521639927,
700,0.0484419018,700,0.007731672376,700,0.02106466703,700,0.03038669191,700,-0.0006810432533,
699,0.04840292037,699,0.007686377503,699,0.02104863524,699,0.03046323732,699,-0.000796091801,
698,0.04837213084,698,0.007615822833,698,0.02109953016,698,0.03043638729,698,-0.0007650844054,
697,0.04839565605,697,0.007706956007,697,0.02104953304,697,0.03049794771,697,-0.0008045150898,
696,0.0484264195,696,0.007664825302,696,0.02118948847,696,0.03047723323,696,-0.0006979975151,
695,0.04839088395,695,0.007686904632,695,0.02116999961,695,0.03048186935,695,-0.0007682369323,
694,0.04838590696,694,0.007690883242,694,0.02120557986,694,0.0304113999,694,-0.0007777977153,
693,0.04839991033,693,0.00773046026,693,0.02125388198,693,0.03050250188,693,-0.0007645158912,
692,0.0483254008,692,0.007685086224,692,0.02120598592,692,0.03036984056,692,-0.0008188291104,
691,0.04834339768,691,0.007739894092,691,0.02134332806,691,0.03052077442,691,-0.0006867808988,
690,0.04829262197,690,0.007647252176,690,0.02134906501,690,0.03044069186,690,-0.0007736633415,
689,0.04837869853,689,0.007632577792,689,0.02129229531,689,0.03050844558,689,-0.000722859113,
688,0.0483247079,688,0.007668750826,688,0.02132068016,688,0.03034743667,688,-0.00076487771,
687,0.04828715697,687,0.007702792529,687,0.02133324184,687,0.03043774888,687,-0.0007374343113,
686,0.04828646034,686,0.007678394206,686,0.02141612209,686,0.03040293232,686,-0.0007615701179,
685,0.04827807099,685,0.007682557218,685,0.02138237469,685,0.03048559092,685,-0.0007680301787,
