Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD]
-400;0.183822;0.406214;0.306367;-0.004897;-0.069452
-390;0.011743;0.023549;0.085313;0.033754;-0.004413
-380;0.029822;0.335216;0.138356;-0.040822;0.172037
-370;-0.003626;-0.194606;0.027858;0.035902;-0.086579
-360;-0.092103;-0.072297;0.155174;0.182483;-0.011582
-350;-0.090991;0.279847;-0.356068;0.145475;-0.022068
-340;0.005777;-0.268881;0.189754;-0.260779;0.080495
-330;-0.024770;0.105095;-0.061694;-0.000000;-0.031964
-320;-0.129806;0.270942;-0.067238;0.013080;0.357821
-310;-0.444684;0.441987;0.131108;0.051217;0.152145
-300;0.113803;0.039392;0.300190;-0.132377;-0.156646
-290;0.526382;-0.071118;-0.054171;-0.325240;0.414383
-280;0.013801;-0.221516;-0.369766;0.058297;-0.484434
-270;0.353204;0.107348;-0.201463;-0.102928;-0.051282
-260;0.067485;0.002732;0.013125;0.093157;0.160519
-250;0.288867;0.107268;-0.133459;0.330572;-0.010473
-240;-0.218062;0.348986;-0.164181;-0.172382;-0.216250
-230;0.058033;-0.223742;-0.125640;0.135254;0.276202
-220;-0.039410;-0.095183;-0.326368;-0.069835;0.094372
-210;-0.010657;-0.125304;0.039383;-0.020231;0.195184
-200;0.159140;0.294370;0.179142;-0.030556;-0.197458
-190;-0.224751;0.396780;-0.343707;0.112872;-0.221815
-180;0.083677;-0.143231;0.068899;-0.287271;0.377418
-170;0.114566;-0.133970;-0.041509;-0.186992;0.140148
-160;-0.132616;-0.090738;0.214178;0.027828;-0.176932
-150;-0.360917;0.128391;-0.183537;-0.237544;0.093640
-140;-0.086751;-0.336375;-0.220544;0.050136;-0.250089
-130;0.278520;0.342793;0.131168;-0.065513;0.081542
-120;0.025044;0.040439;-0.092761;0.124367;-0.159197
-110;0.324235;-0.045376;-0.093476;-0.518313;0.044673
-100;0.403207;0.028442;-0.066069;-0.315996;-0.222643
-90;-0.199318;-0.243676;0.181441;-0.336558;-0.298764
-80;0.110252;-0.395483;-0.025124;-0.057274;-0.218487
-70;0.038914;0.611647;0.575701;-0.324229;0.335477
-60;0.236685;-0.297893;-0.321260;0.424797;-0.141536
-50;-0.034622;-0.018028;-0.139134;-0.294202;0.302003
-40;0.008531;-0.162345;-0.043096;-0.291093;-0.051763
-30;-0.254357;-0.093457;-0.038238;0.010380;0.187121
-20;-0.011721;-0.128478;-0.071479;-0.110290;0.174034
-10;1.241511;1.023122;0.738704;0.985507;0.452844
0;3.525943;3.194300;3.413194;3.483752;3.288014
10;6.082838;6.122810;5.812348;5.897167;5.672182
20;8.799861;8.583710;8.561864;8.628778;8.585830
30;11.037669;10.489051;11.083642;10.769091;10.750179
40;13.526566;13.292387;13.265753;13.594054;13.079428
50;15.849101;15.714044;15.443492;15.289732;15.365605
60;18.166183;17.214198;17.757729;17.750727;17.604569
70;19.678743;19.812651;19.784626;19.709391;19.979961
80;22.213610;21.994516;22.191741;21.943114;21.545513
90;24.235708;23.954931;23.942894;24.180576;23.566353
100;26.342127;25.592949;25.740685;25.655462;25.789555
110;28.080033;27.903008;27.681415;27.137083;27.757839
120;28.682608;28.102192;28.320058;28.359652;28.026659
130;27.690449;27.397246;27.946717;27.607425;27.302586
140;26.787550;26.848286;26.937245;26.796764;26.347403
150;26.340657;26.038619;26.179072;25.964431;26.000469
160;25.728054;25.274198;25.817126;25.432103;25.279849
170;24.878737;25.039768;25.049342;24.633920;24.588951
180;24.139949;24.047538;24.651153;24.248813;24.242649
190;23.580506;23.544956;23.827085;23.523984;23.337480
200;23.158069;23.013571;23.004417;22.948655;23.199478
210;22.166926;22.382486;22.460450;22.213723;21.991989
220;21.890536;21.715116;22.138673;21.713957;22.033154
230;21.163056;21.478233;21.319279;20.804328;21.182038
240;20.567149;20.649211;20.567454;21.096222;20.511494
250;20.337269;20.141020;20.516463;20.077931;19.962546
260;19.905823;19.401389;19.604009;19.790796;19.424529
270;19.345622;19.128109;19.067589;19.168228;18.991865
280;18.694633;18.563340;18.511115;18.367962;18.605017
290;18.196934;18.303774;18.159753;18.142649;17.825598
300;17.569985;17.859593;17.358525;18.032878;17.732478
310;17.375033;17.044778;17.580337;17.366765;17.064594
320;16.726442;16.823770;17.023206;16.967467;16.997976
330;16.644892;16.185829;16.622502;16.462087;16.664018
340;15.863160;16.125953;15.511287;15.490835;15.613683
350;15.418620;15.313618;15.310928;15.548167;15.546971
360;14.870954;14.812528;14.776584;15.116411;15.225914
370;14.599629;14.386377;14.642838;14.461284;14.727202
