Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD]
700;5.342270;5.620324;5.616705;5.667091;5.378000
710;5.589017;5.271068;5.702651;5.298238;5.275302
720;5.574731;5.290132;5.237487;5.451487;5.165860
730;5.225686;4.850094;5.015088;5.290994;4.558913
740;4.938628;4.998818;5.079799;5.362113;5.051347
750;4.653288;4.871335;4.865638;5.104994;4.804082
760;4.961995;5.343990;4.429787;4.711813;4.789831
770;4.946691;4.342889;4.892718;4.723168;4.970256
780;4.723622;4.489667;4.565135;4.230953;4.588866
790;4.783073;4.566457;4.519582;4.626457;4.459610
800;4.259726;4.261848;4.292579;4.247187;4.598095
810;4.568841;4.544386;4.554887;4.348880;4.165138
820;3.807974;4.343792;4.006110;4.126576;3.725817
830;4.170170;4.211505;4.201531;4.160698;4.217882
840;4.274864;4.341028;3.815099;4.433678;3.466779
850;3.851736;3.539883;3.894426;3.828436;3.989467
860;4.145601;3.871690;3.709146;3.842256;3.684839
870;3.823620;3.872697;4.072245;4.277206;3.834380
880;3.806195;3.993438;3.858019;3.944434;3.476293
890;3.459146;3.270596;3.465017;3.431963;3.265180
900;3.499652;3.276618;4.081002;3.365394;3.607949
910;3.231129;3.486247;3.428563;3.382287;3.544110
920;3.454069;3.387985;3.645864;3.555536;3.409844
930;3.504520;2.369757;3.604920;2.805087;3.423483
940;2.841038;2.729018;3.070387;3.137421;2.854917
950;2.936301;2.897881;2.651358;3.302974;2.976130
960;3.230411;2.762951;2.945866;2.722014;3.158088
970;2.790008;2.654920;2.709451;2.956720;2.679826
980;2.829485;2.777237;2.795320;2.698878;2.370722
990;2.718051;2.945426;3.135435;2.796485;3.066035
1000;2.570805;3.268898;2.823894;2.987846;2.602801
1010;2.604119;2.440512;2.384569;2.226237;2.718517
1020;2.510160;2.225345;2.705417;2.486654;2.191676
1030;2.588433;2.753894;2.472711;2.375376;2.224529
1040;1.892471;2.852823;1.977380;2.498793;2.206851
1050;2.167116;2.273500;2.574350;2.168380;2.127512
1060;2.302656;2.248878;2.419270;2.318596;2.363180
1070;1.941027;1.889172;2.215026;2.117044;2.282410
1080;2.380228;2.613887;2.377089;2.072673;2.212445
1090;2.036630;1.918033;1.963046;2.573517;1.825611
1100;2.130800;2.126797;2.034957;1.942763;2.242871
1110;2.179386;1.540804;2.057913;1.924021;2.045121
1120;1.675961;2.000413;1.832963;2.003787;2.212640
1130;2.041004;2.116879;1.885136;2.214859;2.698101
1140;1.856335;2.183191;1.755573;1.639633;2.148983
1150;2.005319;1.809293;2.054300;1.631138;1.879498
1160;2.014409;2.145906;2.134791;2.151892;1.657154
1170;1.845567;1.281213;1.771742;2.287097;1.631756
1180;2.328013;1.637382;1.702574;1.640853;1.840402
1190;2.367677;1.825705;1.753848;1.528698;1.867151
1200;1.660821;1.712194;1.699059;1.541322;1.686139
1210;1.905541;1.398646;1.569586;1.737569;2.112006
1220;1.545089;1.686586;1.816987;1.558009;1.630505
1230;1.676220;1.626209;1.651320;1.770424;2.130898
1240;1.613569;1.423631;1.736662;1.350997;1.433982
1250;1.589447;1.420622;1.923198;1.708834;1.870793
1260;1.590365;1.536092;1.465225;1.971719;1.413705
1270;1.491821;1.699630;1.051913;1.239519;1.562012
1280;1.327645;1.490588;1.138518;1.614852;1.506719
1290;1.028617;1.271298;1.564963;0.805504;1.576617
1300;1.096322;1.399581;1.608520;1.528401;1.138967
1310;1.598808;1.454900;1.341967;1.225609;1.253374
1320;0.820465;1.467919;1.462069;1.757063;1.545300
1330;0.906104;0.943271;0.857616;1.383833;1.228925
1340;1.451033;1.581998;1.272102;1.001010;1.484032
1350;0.980856;1.120999;1.010325;1.353911;1.411125
1360;1.076676;1.705463;1.009350;1.520269;1.151122
1370;1.469113;0.995745;1.517867;1.296560;1.713790
1380;1.432489;1.029632;1.215035;1.281995;1.257714
1390;1.208359;1.287930;1.268815;1.520245;1.061198
1400;0.774104;1.074724;1.140083;0.660531;0.700397
1410;1.113853;1.197602;0.900057;1.169433;1.338328
