Laser Delay [ns];TA [mOD]
-400;-0.231656
-390;-0.132278
-380;-0.369853
-370;-0.420448
-360;-0.194886
-350;0.035331
-340;-0.314865
-330;-0.363340
-320;-0.437597
-310;0.026950
-300;0.044663
-290;-0.122833
-280;-0.236362
-270;-0.188967
-260;-0.308526
-250;-0.361611
-240;-0.480701
-230;-0.196656
-220;-0.158547
-210;-0.470875
-200;-0.474020
-190;-0.344352
-180;-0.396151
-170;-0.163924
-160;-0.447871
-150;-0.128264
-140;-0.322438
-130;-0.317483
-120;-0.537492
-110;-0.153885
-100;-0.463572
-90;-0.470276
-80;-0.206730
-70;-0.688389
-60;0.179686
-50;-0.304678
-40;-0.236186
-30;-0.188495
-20;0.219543
-10;1.227658
0;2.701305
10;4.069564
20;5.354708
30;6.852903
40;7.855943
50;9.029579
60;10.568804
70;11.800299
80;13.227140
90;14.443767
100;15.423016
110;15.857100
120;15.727530
130;15.876780
140;15.362783
150;15.585993
160;15.235412
170;14.913533
180;14.677287
190;14.886855
200;14.505134
210;14.512689
220;14.008390
230;13.802860
240;13.602779
250;13.567975
260;13.503688
270;13.403087
280;13.139090
290;12.834449
300;12.635310
310;12.613165
320;12.443380
330;12.527994
340;12.045624
350;11.668822
360;11.857826
370;11.324261
380;11.589961
390;11.432212
400;11.024638
410;10.955174
420;10.860315
430;10.814562
440;10.736771
450;10.291176
460;10.374484
470;10.144034
480;10.060342
490;10.061698
500;9.888655
510;9.665964
520;9.424827
530;9.363890
540;9.646767
550;9.237270
560;9.167309
570;8.948638
580;8.853407
590;8.572229
600;8.769981
610;8.402315
620;8.532516
630;8.200996
640;8.546583
650;8.429600
660;7.880708
670;8.002421
680;7.966006
690;7.731202
700;7.987267
710;7.563927
720;7.294335
730;7.215613
740;7.659252
750;7.367263
760;7.315928
770;7.002840
780;6.803761
790;7.027417
800;6.913547
810;6.652010
820;6.577624
830;6.609994
840;6.435456
850;6.255910
860;6.135423
870;6.378555
880;6.141372
890;5.919689
900;6.083164
910;5.759888
920;6.219467
930;5.980093
940;5.800422
950;5.582998
960;5.603990
970;5.672411
980;5.393070
990;5.572185
1000;5.065895
1010;5.355688
1020;5.428658
1030;5.304171
1040;4.902112
1050;4.940715
1060;4.898991
1070;5.045195
1080;4.776488
1090;4.832242
1100;4.698284
1110;4.955050
1120;4.811949
1130;4.727128
1140;4.638682
1150;4.373537
1160;4.564322
1170;4.287290
1180;4.352377
1190;4.147531
1200;4.461533
1210;4.261010
1220;4.117859
1230;4.245662
1240;4.202273
1250;4.107110
1260;3.966058
1270;3.961533
1280;4.012710
1290;3.888235
1300;3.634030
1310;3.851376
1320;3.612950
1330;3.663640
1340;3.615372
1350;3.756548
1360;3.479162
1370;3.721847
1380;3.813144
1390;3.618182
1400;3.673264
1410;3.322445
1420;3.441248
1430;3.170894
1440;3.163241
1450;3.238614
1460;3.301799
1470;3.527052
1480;3.284447
1490;2.940036
1500;3.145615
1510;3.117044
1520;3.034236
1530;3.071843
1540;2.964916
1550;2.662507
1560;3.393670
1570;2.970736
1580;2.794824
1590;2.904253
1600;2.921180
1610;3.234703
1620;2.753602
1630;2.637304
1640;2.659581
1650;2.601099
1660;2.568948
1670;2.457909
1680;2.486823
1690;2.841482
1700;2.594056
1710;2.351200
1720;2.633376
1730;2.678995
1740;2.049099
1750;2.367404
1760;2.292310
1770;2.356317
1780;2.664277
1790;2.102957
1800;2.512896
1810;2.414103
1820;2.447086
1830;2.472768
1840;2.399796
1850;2.003497
1860;2.119893
1870;2.293545
1880;2.069421
1890;2.177569
1900;2.238612
1910;2.232839
1920;1.918177
1930;2.120051
1940;2.273021
1950;2.023872
1960;2.007704
1970;2.165099
1980;1.888879
1990;2.010732
2000;1.886732
2010;2.208823
2020;1.912620
2030;1.720534
2040;1.711626
2050;1.950098
2060;1.616174
2070;1.949650
2080;1.876328
2090;1.664873
2100;1.717212
2110;1.877152
2120;1.604552
2130;1.613752
2140;1.784753
2150;1.828668
2160;1.441025
2170;1.816889
2180;1.721480
2190;1.856168
2200;1.748472
2210;2.052256
2220;1.946982
2230;1.858959
2240;1.787382
2250;1.822175
2260;1.785573
2270;1.681529
2280;1.761426
2290;1.699109
2300;1.696347
2310;1.332326
2320;1.688422
2330;1.636546
2340;1.678091
2350;1.584375
2360;1.487884
2370;1.454445
2380;1.419226
2390;1.802661
2400;1.310226
2410;1.318399
2420;1.341276
2430;1.606196
2440;1.451708
2450;1.610458
2460;1.717749
2470;1.302431
2480;1.548602
2490;1.439907
2500;1.539759
2510;1.720163
2520;1.379321
2530;1.609009
2540;1.380775
2550;1.404420
2560;1.312731
2570;1.423893
2580;1.390889
2590;1.274153
2600;1.317807
2610;1.459393
2620;1.482772
2630;1.585356
2640;1.031129
2650;1.346305
2660;1.627643
2670;1.327534
2680;1.326507
2690;1.405866
2700;1.538961
2710;1.630798
2720;1.154224
2730;1.552794
2740;1.515192
2750;1.151802
2760;1.231960
2770;1.486529
2780;1.311189
2790;1.534969
2800;1.044064
2810;1.438260
2820;1.065626
2830;1.520314
2840;1.381734
2850;0.944098
2860;1.465096
2870;1.061441
2880;1.324476
2890;1.247922
2900;1.689475
2910;0.903209
2920;1.170394
2930;1.163580
2940;1.057712
2950;1.027206
2960;1.217782
2970;1.113476
2980;1.204818
2990;1.037579
3000;1.111062
3010;1.180374
3020;1.069512
3030;0.974607
3040;1.088503
3050;1.122173
3060;1.018078
3070;0.791079
3080;0.913439
3090;1.287224
3100;0.954917
3110;1.082416
3120;0.920851
3130;0.942576
3140;0.719628
3150;1.250110
3160;1.100781
3170;0.809387
3180;1.018787
3190;0.870970
3200;1.217079
3210;1.154274
3220;1.060991
3230;1.071720
3240;1.108677
3250;1.108459
3260;0.966879
3270;1.170885
3280;1.087617
3290;1.288427
3300;0.983551
3310;1.283419
3320;1.097633
3330;0.934980
3340;1.091039
3350;1.124664
3360;0.791819
3370;1.106252
3380;1.154725
3390;0.881541
3400;0.822457
3410;1.096517
3420;1.050590
3430;0.830092
3440;0.806062
3450;0.880224
3460;1.127233
3470;0.899967
3480;1.004272
3490;1.052371
3500;1.167655
3510;0.930124
3520;0.758738
3530;0.820465
3540;1.135220
3550;0.914779
3560;1.069758
