Laser Delay [ns];TA [mOD]
3660;0.237056
3670;0.346314
3680;0.448074
3690;0.339197
3700;0.307626
3710;0.306454
3720;0.402650
3730;0.338319
3740;0.335612
3750;0.131335
3760;0.432215
3770;0.368099
3780;0.281875
3790;0.282848
3800;0.256732
3810;0.111169
3820;0.213718
3830;0.529338
3840;0.114717
3850;0.231227
3860;0.165570
3870;0.432671
3880;0.463031
3890;0.378581
3900;0.308881
3910;0.280053
3920;0.403583
3930;0.350388
3940;0.439428
3950;0.217689
3960;0.236032
3970;0.281412
3980;0.417756
3990;0.217028
4000;0.265916
4010;0.343699
4020;0.283453
4030;0.184932
4040;0.374318
4050;0.422149
4060;0.304220
4070;0.404664
4080;0.285976
4090;0.309331
4100;0.114251
4110;0.162568
4120;0.323989
4130;0.254869
4140;0.137923
4150;0.318063
4160;0.085415
4170;0.201570
4180;0.337207
4190;0.261858
4200;0.269784
4210;0.391401
4220;0.339169
4230;0.449426
4240;0.341924
4250;0.337821
4260;0.222855
4270;0.202841
4280;0.357522
4290;0.091818
4300;0.240442
4310;0.353634
4320;0.394663
4330;0.219895
4340;0.476240
4350;0.260421
4360;0.448657
4370;0.212066
4380;0.255313
4390;0.294091
4400;0.270467
4410;0.283118
4420;0.450778
4430;0.281784
4440;0.487070
4450;0.143015
4460;0.280542
4470;0.253217
4480;0.392450
4490;0.162289
4500;0.112061
4510;0.348105
4520;0.359386
4530;0.268137
4540;0.295018
4550;0.314377
4560;0.492042
4570;0.169430
4580;0.313146
4590;0.439293
4600;0.258787
4610;0.370981
4620;0.244440
4630;0.444168
4640;0.393152
4650;0.274431
4660;0.145298
4670;0.469782
4680;0.326439
4690;0.373247
4700;0.272662
4710;0.298973
4720;0.510309
4730;0.355955
4740;0.239078
4750;0.197448
4760;0.491186
4770;0.300419
4780;0.380924
4790;0.291100
4800;0.413900
4810;0.236505
4820;0.069892
4830;0.152237
4840;0.175005
4850;0.224266
4860;0.129619
4870;0.392466
4880;0.152759
4890;0.387678
4900;0.191306
4910;0.268899
4920;0.256156
4930;0.330366
4940;0.412790
4950;0.350979
4960;0.166149
4970;0.588010
4980;0.391314
4990;0.239540
5000;0.240289
