70_140_90_Pol_at_750.00nm_cut_at_1179.00Y_01.dat
03.07.2023
11:17:01
cut middle at Y: 1179.00
top cursor: 1231 down cursor: 1127 mean of: 104 lines , 2560 datapoints
wavelength(nm)	intensity[arb. units]
585.996	10556.587
586.124	10353.308
586.252	10371.279
586.380	10402.327
586.508	10419.337
586.637	10507.663
586.765	10468.087
586.893	10485.154
587.021	10559.635
587.149	10583.519
587.277	10597.019
587.405	10600.096
587.533	10629.654
587.662	10679.942
587.790	10622.327
587.918	10631.769
588.046	10659.990
588.174	10655.731
588.302	10671.663
588.430	10700.606
588.558	10687.760
588.687	10706.404
588.815	10731.740
588.943	10721.529
589.071	10689.971
589.199	10716.442
589.327	10719.087
589.455	10774.913
589.583	10733.490
589.712	10722.154
589.840	10715.885
589.968	10706.644
590.096	10737.692
590.224	10730.433
590.352	10796.558
590.480	10730.500
590.608	10710.865
590.737	10742.019
590.865	10838.423
590.993	10701.288
591.121	10743.240
591.249	10726.154
591.377	10757.779
591.505	10840.058
591.633	10754.500
591.762	10761.846
591.890	10781.471
592.018	10879.500
592.146	10798.452
592.274	10760.423
592.402	10773.404
592.530	10981.587
592.658	10873.712
592.787	10870.587
592.915	10923.663
593.043	10815.346
593.171	10896.673
593.299	10882.163
593.427	10898.048
593.555	10908.000
593.683	10916.058
593.812	10948.885
593.940	10973.481
594.068	11002.788
594.196	10977.769
594.324	11048.183
594.452	11245.885
594.580	11141.971
594.708	11152.913
594.837	11132.231
594.965	11243.769
595.093	11195.962
595.221	11279.240
595.349	11266.913
595.477	11301.212
595.605	11286.894
595.733	11337.029
595.862	11355.865
595.990	11371.154
596.118	11418.394
596.246	11491.510
596.374	11412.904
596.502	11423.038
596.630	11463.894
596.758	11474.192
596.887	11510.327
597.015	11505.760
597.143	11511.875
597.271	11512.337
597.399	11585.615
597.527	11566.404
597.655	11543.346
597.783	11566.606
597.912	11548.394
598.040	11601.865
598.168	11563.356
598.296	11519.365
598.424	11713.019
598.552	11557.250
598.680	11574.442
598.808	11630.817
598.937	11589.356
599.065	11589.913
599.193	11593.385
599.321	11642.596
599.449	11571.019
599.577	11572.212
599.705	11596.135
599.833	11531.452
599.962	11561.952
600.090	11580.048
600.218	11590.760
600.346	11587.644
600.474	11565.106
600.602	11508.990
600.730	11558.038
600.858	11576.654
600.987	11643.250
601.115	11550.375
601.243	11646.115
601.371	11707.202
601.499	11693.538
601.627	11668.240
601.755	11652.933
601.883	11723.462
602.012	11659.096
602.140	11751.375
602.268	11705.894
602.396	11859.337
602.524	11780.904
602.652	11841.750
602.780	11844.779
602.908	11852.019
603.037	11935.923
603.165	11936.740
603.293	11965.798
603.421	12013.433
603.549	12009.250
603.677	12054.404
603.805	12087.625
603.933	12091.577
604.062	12189.077
604.190	12220.135
604.318	12237.010
604.446	12190.317
604.574	12301.423
604.702	12370.644
604.830	12315.529
604.958	12361.529
605.087	12460.077
605.215	12512.375
605.343	12567.404
605.471	12543.087
605.599	12547.346
605.727	12693.375
605.855	12582.433
605.983	12698.433
606.112	12710.288
606.240	12710.933
606.368	12729.202
606.496	12723.904
606.624	12833.481
606.752	12821.067
606.880	12855.385
607.008	12824.423
607.137	12830.433
607.265	12956.452
607.393	12884.721
607.521	12974.038
607.649	12892.635
607.777	12916.817
607.905	12937.846
608.033	12914.788
608.162	12927.644
608.290	12917.548
608.418	13006.837
608.546	12975.548
608.674	13009.538
608.802	12919.625
608.930	12936.471
609.058	12862.183
609.187	12916.644
609.315	12930.933
609.443	12893.298
609.571	13019.269
609.699	12889.279
609.827	12955.385
609.955	12904.010
610.083	12859.250
610.212	12848.606
610.340	12842.212
610.468	12854.510
610.596	12826.279
610.724	12811.904
610.852	12860.481
610.980	12862.990
611.108	12786.846
611.237	12811.981
611.365	12829.635
611.493	12831.548
611.621	12815.298
611.749	12867.683
611.877	12922.337
612.005	12876.750
612.133	12957.087
612.262	12927.058
612.390	12968.635
612.518	12998.317
612.646	12946.721
612.774	13033.798
612.902	13037.856
613.030	13059.221
613.158	13017.365
613.287	13096.096
613.415	13026.288
613.543	13093.644
613.671	13096.327
613.799	13121.077
613.927	13160.135
614.055	13164.548
614.183	13205.202
614.312	13196.567
614.440	13350.567
614.568	13281.385
614.696	13304.558
614.824	13313.087
614.952	13414.202
615.080	13390.221
615.208	13414.260
615.337	13530.462
615.465	13453.798
615.593	13546.731
615.721	13489.606
615.849	13604.577
615.977	13561.615
616.105	13636.712
616.233	13614.837
616.362	13711.567
616.490	13642.644
616.618	13728.577
616.746	13807.894
616.874	13806.529
617.002	13821.163
617.130	13826.500
617.258	13819.615
617.387	13871.163
617.515	13885.596
617.643	13874.875
617.771	13961.519
617.899	13889.337
618.027	13986.471
618.155	13959.904
618.283	13977.721
618.412	14005.923
618.540	14038.981
618.668	14014.298
618.796	14037.942
618.924	14020.250
619.052	14040.529
619.180	13998.163
619.308	14026.221
619.437	14051.183
619.565	14058.981
619.693	13993.510
619.821	14055.625
619.949	14008.606
620.077	14077.317
620.205	14086.923
620.333	14110.067
620.462	14040.962
620.590	14087.019
620.718	14092.356
620.846	14110.298
620.974	14091.606
621.102	14118.625
621.230	14125.067
621.358	14267.673
621.487	14080.596
621.615	14137.365
621.743	14058.212
621.871	14127.106
621.999	14038.125
622.127	14075.846
622.255	14078.202
622.383	14065.865
622.512	14051.240
622.640	14046.990
622.768	14146.231
622.896	14148.827
623.024	14123.673
623.152	14093.442
623.280	14184.894
623.408	14094.894
623.537	14170.740
623.665	14070.385
623.793	14150.923
623.921	14144.385
624.049	14111.635
624.177	14103.029
624.305	14136.356
624.433	14109.635
624.562	14123.673
624.690	14234.856
624.818	14063.548
624.946	14094.250
625.074	14052.221
625.202	14096.288
625.330	14122.375
625.458	14191.375
