lambda[nm],I_Ref[au],I_Dunkel[au],I_70_70[au],I_70_80[au],I_70_90[au],I_70_100[au],I_70_110[au],I_70_120[au],I_70_130[au],I_70_140[au],I_90_70[au],I_90_80[au],I_90_90[au],I_90_100[au],I_90_110[au],I_90_120[au],I_90_130[au],I_90_140[au]
585.996,629.206,103.567,1331.969,1411.742,1414.66,867.041,834.619,880.959,880.959,971.103,756.423,730.33,698.361,766.557,756.0,797.062,834.701,906.959
586.124,604.557,103.052,1294.887,1359.33,1375.732,838.464,819.753,847.866,858.557,938.34,730.938,702.68,688.876,738.433,725.289,768.948,808.722,858.268
586.252,605.031,102.897,1278.454,1345.062,1365.454,832.753,806.608,834.536,849.216,936.464,716.433,709.01,680.629,736.701,716.835,762.021,803.124,858.742
586.38,600.464,103.216,1268.845,1338.948,1347.567,819.175,807.804,849.021,844.629,928.0,721.216,710.093,680.515,735.773,721.722,759.402,803.887,856.907
586.508,604.598,103.866,1270.402,1349.258,1357.856,826.309,810.495,841.165,841.619,935.278,716.175,707.186,676.732,729.351,715.526,757.443,802.144,864.722
586.637,604.381,104.34,1281.206,1355.32,1363.66,832.897,807.588,849.66,853.381,943.041,727.732,709.732,680.825,739.32,724.588,759.0,801.814,861.722
586.765,604.371,103.804,1286.567,1350.577,1377.66,829.619,819.412,844.165,846.68,931.897,730.01,713.515,690.753,744.691,722.423,762.938,804.515,866.784
586.893,602.412,103.887,1284.773,1358.237,1374.505,832.01,812.072,855.165,848.763,945.546,726.454,705.67,684.567,732.144,720.062,759.711,812.454,869.268
587.021,602.979,103.505,1298.196,1366.247,1376.608,831.577,818.588,858.876,851.835,941.763,730.423,714.866,688.876,748.515,724.845,766.608,816.041,870.216
587.149,603.804,103.381,1298.103,1356.845,1383.588,830.969,816.711,852.021,856.268,944.742,730.041,712.598,687.67,743.856,722.041,778.567,809.165,865.907
587.277,602.99,103.701,1293.866,1376.536,1388.732,834.835,823.34,859.309,848.928,948.495,725.505,707.804,687.536,746.206,725.33,766.227,810.928,867.371
587.405,603.845,103.784,1301.546,1372.082,1396.01,838.526,815.691,851.0,858.206,948.392,733.639,709.99,691.165,733.887,725.01,771.155,814.907,877.134
587.533,599.206,103.526,1286.371,1353.887,1379.608,837.866,816.639,852.423,856.33,940.959,730.361,710.701,685.093,742.887,721.103,770.536,806.845,869.742
587.662,607.753,102.856,1287.351,1366.309,1370.32,831.959,822.649,853.938,857.124,946.68,737.464,715.0,692.763,744.062,720.856,769.495,807.794,872.485
587.79,609.268,102.753,1289.433,1356.165,1384.804,839.196,822.474,856.536,861.454,949.495,731.722,720.701,690.093,733.32,723.175,771.711,810.577,877.876
587.918,602.722,102.485,1300.155,1373.32,1389.34,843.897,817.412,857.289,861.0,958.433,731.351,711.67,689.619,742.103,727.691,768.433,811.361,865.68
588.046,608.175,102.546,1293.567,1368.34,1375.928,836.237,824.835,855.845,861.969,947.381,739.649,711.485,685.732,749.165,726.227,772.227,817.938,874.918
588.174,601.546,103.309,1304.711,1380.134,1399.433,836.392,826.887,863.268,855.371,951.155,736.619,714.0,690.258,742.124,724.103,767.608,817.856,874.711
588.302,608.289,103.959,1303.175,1365.897,1389.691,844.784,818.546,863.856,863.227,960.093,737.66,714.99,693.629,747.01,731.423,767.804,815.32,874.495
588.43,605.113,103.814,1302.887,1374.072,1385.464,833.309,820.247,852.67,859.567,952.01,730.763,714.639,687.866,735.763,719.103,768.67,803.969,873.701
588.558,605.825,103.639,1312.814,1381.732,1390.784,842.66,826.361,862.907,861.67,959.608,730.289,720.639,685.454,743.32,730.361,768.289,803.485,871.072
588.687,607.897,103.588,1307.67,1369.99,1391.072,840.711,830.918,866.485,866.443,960.041,730.66,715.536,688.464,741.639,727.278,775.021,823.175,871.258
588.815,616.175,104.01,1309.0,1381.701,1395.825,845.567,822.835,875.103,866.165,963.289,739.351,730.031,695.588,753.557,736.845,772.979,814.082,882.938
588.943,606.144,104.351,1308.454,1379.186,1410.495,851.959,833.454,866.381,863.959,966.474,743.526,723.588,690.763,745.928,733.598,771.567,813.588,877.845
589.071,604.732,104.32,1305.433,1375.0,1395.804,844.299,824.897,863.845,858.32,952.66,731.247,718.237,690.155,740.794,730.938,766.237,819.052,869.072
589.199,608.722,103.495,1307.763,1382.155,1393.773,842.041,829.186,868.351,869.196,960.134,735.433,716.278,693.588,754.454,725.454,774.639,822.412,880.0
589.327,602.258,103.093,1315.66,1381.031,1414.227,841.134,836.845,867.433,862.907,963.907,731.031,722.237,694.608,746.856,720.629,769.412,808.887,881.588
589.455,601.144,102.969,1308.608,1383.0,1400.474,838.165,832.34,857.515,859.99,952.742,727.062,712.825,687.938,735.897,719.938,760.33,811.021,877.485
589.583,607.258,104.041,1321.206,1394.237,1414.041,847.258,829.526,871.866,877.021,966.742,729.567,721.598,691.804,748.526,717.165,766.938,815.619,878.866
589.712,613.237,103.134,1303.082,1376.948,1398.887,843.155,831.309,869.814,869.68,970.361,733.66,721.907,695.351,740.979,727.103,771.68,822.835,875.258
589.84,606.649,104.052,1319.062,1383.175,1408.247,843.814,826.68,863.711,877.969,962.206,735.485,718.825,690.052,746.443,726.866,767.34,814.887,881.454
589.968,594.505,103.247,1303.753,1383.072,1402.784,844.753,829.381,866.34,864.454,963.639,736.546,716.433,690.536,739.32,730.557,768.691,808.01,871.237
590.096,604.072,104.082,1309.526,1381.175,1390.247,848.443,827.99,874.959,873.103,966.381,739.34,723.268,688.959,739.392,732.474,779.557,820.814,884.052
590.224,601.608,103.052,1311.309,1374.175,1397.897,847.309,833.443,868.887,868.948,974.691,739.505,716.526,690.691,745.814,731.701,770.649,813.278,877.639
590.352,604.938,104.113,1325.175,1397.402,1413.588,847.474,834.258,870.794,870.887,961.856,741.711,725.526,683.093,743.99,728.907,776.34,814.938,873.515
590.48,601.01,102.649,1318.918,1403.289,1405.216,852.0,829.928,866.062,867.216,965.742,737.371,717.021,694.454,747.804,726.67,770.495,812.773,874.402
590.608,607.258,102.443,1315.433,1385.196,1401.619,845.814,833.258,871.794,870.361,972.361,737.948,722.567,689.526,743.351,741.639,774.629,815.938,882.268
590.737,594.381,104.031,1309.711,1377.639,1396.835,843.402,820.763,868.093,866.34,962.381,729.155,720.876,686.268,737.567,721.031,767.392,804.784,868.351
590.865,606.237,103.629,1319.454,1381.773,1393.495,854.454,833.227,874.165,870.278,969.928,734.165,719.258,689.227,741.093,724.959,773.505,813.113,879.433
590.993,605.01,104.113,1320.835,1396.577,1420.577,848.289,834.753,864.268,882.546,973.32,740.773,711.876,686.526,741.361,730.412,767.237,806.103,885.856
591.121,597.485,102.639,1317.99,1389.227,1405.567,851.918,833.299,866.454,863.773,968.227,745.392,717.784,686.629,736.691,724.34,769.804,819.711,880.485
591.249,606.082,102.67,1314.804,1390.536,1408.299,849.464,839.082,873.639,875.753,970.794,737.175,722.144,692.392,744.804,722.784,770.897,809.062,874.423
591.377,593.247,102.299,1328.0,1377.784,1422.082,841.67,826.495,867.67,871.784,966.0,733.041,718.649,680.33,728.918,725.948,759.32,816.247,870.722
591.505,598.804,103.794,1328.701,1392.701,1418.722,849.165,830.103,871.907,871.433,973.268,738.897,721.701,686.299,739.113,716.392,769.639,805.66,866.371
591.633,597.948,103.402,1321.412,1390.196,1417.68,838.103,833.763,872.443,871.701,972.732,735.814,718.928,685.918,736.876,718.732,766.196,809.268,866.99
591.762,601.103,103.113,1317.969,1392.866,1421.495,849.928,844.165,878.412,875.0,982.175,739.381,724.691,695.144,741.021,734.289,777.557,820.485,884.196
591.89,605.443,103.175,1324.732,1393.103,1425.0,856.165,832.155,879.505,875.732,976.093,737.206,729.814,692.763,738.876,723.608,776.814,809.495,887.897
592.018,602.0,104.052,1324.0,1395.691,1422.773,851.299,838.773,877.196,879.433,978.258,742.278,721.938,693.639,741.361,728.691,769.124,808.454,881.32
592.146,598.495,102.845,1318.567,1389.247,1417.546,849.34,827.33,873.258,875.691,980.031,746.649,729.856,688.784,744.897,723.897,773.371,808.608,874.186
592.274,601.773,103.196,1316.01,1396.876,1415.67,852.0,839.567,869.866,882.804,984.433,744.835,725.546,694.01,741.856,722.753,773.598,823.794,879.433
592.402,597.763,104.289,1321.072,1393.969,1420.082,854.608,836.907,876.773,879.887,972.381,744.392,710.711,691.186,737.144,718.67,775.804,815.082,876.196
592.53,596.557,104.216,1347.825,1407.608,1423.866,851.113,842.268,871.742,874.99,978.361,741.897,721.474,686.722,744.866,725.34,774.753,810.093,874.711
592.658,595.784,103.979,1331.021,1406.309,1429.031,855.577,835.474,873.711,882.577,982.165,743.34,722.938,688.082,739.907,727.206,769.381,813.041,884.536
592.787,595.897,104.021,1336.082,1418.505,1432.928,858.021,836.495,877.268,881.907,980.567,742.876,723.175,690.588,743.588,731.371,771.196,817.402,876.918
592.915,599.722,103.227,1349.402,1417.577,1443.031,849.557,840.0,871.072,881.062,982.216,743.113,724.381,690.629,740.062,732.526,770.567,814.784,884.392
593.043,604.567,102.289,1346.701,1429.278,1431.041,861.165,848.928,883.526,887.381,980.598,745.0,727.526,690.856,744.959,725.546,776.526,823.082,885.155
593.171,592.082,103.268,1340.289,1406.072,1443.732,857.247,847.515,883.206,882.907,982.619,744.835,727.536,685.66,739.546,734.784,779.227,821.309,885.948
593.299,600.784,102.876,1346.155,1416.567,1434.66,864.062,856.052,889.814,888.979,1001.742,752.763,729.423,700.742,752.34,726.742,781.825,822.68,900.701
593.427,598.33,103.814,1355.505,1421.186,1452.598,855.289,848.443,892.505,887.443,990.32,746.804,728.423,697.629,747.546,738.856,773.34,823.072,885.711
593.555,599.866,102.763,1346.66,1424.196,1440.443,869.722,857.845,892.289,887.598,1001.237,750.639,723.186,698.134,749.464,730.113,785.887,825.742,885.948
593.683,598.773,103.464,1350.371,1423.165,1461.124,862.845,851.423,884.309,900.32,983.856,744.598,727.608,693.093,745.134,737.567,784.577,822.969,894.371
593.812,601.093,103.021,1367.216,1440.959,1474.299,869.186,851.33,889.258,893.175,997.691,751.381,737.722,698.722,751.794,731.041,774.144,821.031,890.103
593.94,606.381,101.938,1371.258,1449.938,1463.33,872.557,860.515,897.742,896.392,1007.691,748.165,740.938,699.979,751.794,730.082,786.608,824.155,902.887
594.068,598.979,102.814,1364.835,1459.99,1467.113,879.804,855.041,898.299,907.093,1005.825,756.938,740.186,704.031,748.082,737.206,794.495,827.33,900.144
594.196,611.897,102.103,1379.371,1444.175,1476.464,871.969,867.784,901.351,909.99,1016.371,751.887,745.247,711.155,760.33,751.485,794.021,835.237,918.402
594.324,599.247,103.701,1373.464,1457.567,1482.918,873.443,863.216,900.247,910.196,1013.32,758.165,738.103,707.021,755.876,738.515,786.619,832.588,903.227
594.452,610.485,102.309,1375.01,1457.99,1479.918,880.804,874.536,904.567,919.99,1025.351,763.918,740.835,714.124,769.763,746.443,795.175,836.32,909.258
594.58,613.68,104.134,1381.0,1448.526,1477.825,885.515,874.031,908.825,910.701,1027.928,757.206,747.897,710.711,765.67,742.01,796.165,833.619,907.99
594.708,607.99,104.546,1385.144,1479.845,1494.134,892.299,874.825,919.526,927.454,1027.619,765.907,748.608,717.124,760.711,755.598,794.701,835.577,906.031
594.837,608.979,103.34,1379.876,1461.959,1485.66,882.144,870.464,920.773,923.371,1021.464,768.443,751.485,719.474,763.608,758.443,797.918,848.237,912.351
594.965,610.371,103.639,1403.639,1474.577,1513.175,895.454,880.948,922.66,922.258,1027.577,772.485,753.32,718.732,767.206,749.443,803.381,846.887,915.887
595.093,611.948,104.144,1395.536,1474.289,1482.113,892.814,885.598,921.268,923.32,1030.918,780.948,757.732,716.68,762.289,753.278,802.67,847.711,919.557
595.221,612.433,104.32,1410.629,1474.206,1499.897,895.392,886.928,921.835,922.361,1020.072,767.99,758.918,719.845,769.237,751.99,801.32,845.289,914.948
595.349,617.392,104.165,1406.866,1479.979,1520.474,894.412,891.052,923.784,935.732,1037.649,779.0,751.557,716.041,770.093,757.402,803.711,849.608,922.155
595.477,614.34,103.763,1416.515,1500.598,1522.959,898.588,888.33,930.835,931.732,1041.794,776.505,755.155,718.392,770.216,758.732,804.505,850.845,917.794
595.605,612.32,103.227,1424.619,1504.845,1544.031,901.794,899.186,925.186,930.546,1034.742,786.577,763.979,721.794,771.175,760.608,811.258,857.814,920.32
595.733,627.258,102.876,1428.371,1503.629,1531.753,912.34,904.289,952.186,945.526,1057.66,787.763,766.072,732.845,784.34,762.351,817.392,870.412,933.175
595.862,618.186,104.175,1441.464,1528.103,1541.237,916.423,899.165,946.052,944.804,1046.268,776.186,768.134,724.794,786.103,766.392,818.856,859.299,925.196
595.99,617.969,103.082,1422.866,1507.072,1530.454,906.144,883.959,938.66,941.206,1062.691,778.124,758.299,721.165,781.268,764.227,813.649,852.206,933.474
