lambda[nm],I_Ref[au],I_Dunkel[au],I_70_70[au],I_70_80[au],I_70_90[au],I_70_100[au],I_70_110[au],I_70_120[au],I_70_130[au],I_70_140[au],I_90_70[au],I_90_80[au],I_90_90[au],I_90_100[au],I_90_110[au],I_90_120[au],I_90_130[au],I_90_140[au]
590.737,733.804,104.031,1277.557,1200.124,1175.639,898.546,857.454,853.021,817.557,812.969,1286.443,1046.557,807.155,854.175,778.794,821.175,778.969,815.32
590.865,734.144,103.629,1275.856,1197.948,1173.866,906.165,862.278,848.01,821.155,810.041,1287.412,1051.433,812.711,860.351,787.804,814.021,787.814,827.907
590.993,740.433,104.113,1288.825,1204.588,1188.515,912.371,871.753,843.237,820.371,814.196,1306.526,1057.732,812.237,861.289,794.742,827.031,786.041,830.289
591.121,731.144,102.639,1290.381,1205.794,1184.289,900.443,861.464,846.093,822.381,813.67,1293.206,1056.144,807.062,853.124,791.835,823.897,797.845,822.835
591.249,736.526,102.67,1286.021,1210.701,1178.361,911.216,862.588,848.866,821.062,814.454,1304.464,1062.67,807.34,852.701,792.753,825.557,794.485,827.052
591.377,739.031,102.299,1298.588,1208.34,1188.876,909.515,865.072,848.557,819.124,820.041,1313.32,1067.237,818.67,855.309,795.381,817.742,801.021,830.412
591.505,737.144,103.794,1294.897,1211.907,1201.918,904.897,858.423,858.856,819.629,823.887,1306.412,1066.082,814.526,857.495,794.402,817.948,798.608,828.577
591.633,735.33,103.402,1299.01,1207.773,1189.072,914.113,864.392,844.619,819.464,824.34,1312.99,1065.928,813.268,861.866,791.165,826.237,798.526,822.124
591.762,742.433,103.113,1289.68,1214.763,1182.052,915.763,874.567,860.711,828.021,826.474,1327.68,1079.412,825.701,869.567,794.948,825.155,809.392,838.546
591.89,743.742,103.175,1293.474,1220.155,1186.237,915.691,869.144,864.134,830.103,825.649,1324.515,1080.68,827.402,874.66,805.763,826.526,808.649,831.649
592.018,742.629,104.052,1316.258,1223.464,1187.144,918.258,872.144,853.216,831.588,818.268,1315.577,1081.68,823.144,865.598,798.392,832.402,798.845,828.835
592.146,731.402,102.845,1298.784,1211.196,1177.598,916.722,876.34,850.887,827.474,822.67,1337.113,1080.887,825.155,870.072,797.495,831.072,800.0,841.505
592.274,746.206,103.196,1297.845,1217.794,1198.144,914.887,870.959,855.031,828.155,826.082,1335.691,1091.515,826.062,870.206,801.361,839.794,801.526,831.299
592.402,739.423,104.289,1297.66,1210.959,1187.835,909.938,873.918,856.948,827.062,828.072,1338.155,1082.588,826.66,865.485,801.742,826.505,791.784,832.907
592.53,735.175,104.216,1301.907,1222.072,1196.639,910.412,874.701,847.598,830.876,814.526,1341.608,1089.876,832.082,868.845,787.464,825.103,806.588,840.969
592.658,745.979,103.979,1309.113,1224.103,1194.34,909.99,881.515,852.814,819.557,829.753,1342.969,1090.897,827.443,868.196,799.856,820.68,802.526,823.845
592.787,738.072,104.021,1316.361,1226.082,1205.32,917.464,879.433,852.804,833.072,827.165,1355.299,1096.041,823.361,868.361,802.247,832.155,808.33,829.175
592.915,744.33,103.227,1313.691,1221.701,1201.278,915.361,872.722,854.495,829.309,828.0,1348.505,1099.619,826.381,871.495,803.237,833.649,792.258,837.68
593.043,741.629,102.289,1309.732,1219.289,1193.237,920.505,884.567,854.526,827.216,832.608,1354.216,1103.959,825.021,869.474,805.206,823.402,804.041,833.825
593.171,742.072,103.268,1303.67,1208.433,1194.804,924.124,872.433,857.289,830.598,815.629,1356.351,1107.165,832.608,861.041,809.68,835.938,805.784,830.485
593.299,751.928,102.876,1301.938,1224.216,1195.753,927.804,882.309,870.0,836.773,835.32,1377.103,1111.505,840.371,881.825,808.99,840.639,810.835,839.773
593.427,744.608,103.814,1312.082,1219.186,1202.01,924.629,884.907,860.443,830.175,826.536,1369.68,1105.041,834.835,876.0,811.216,833.68,808.299,837.918
