omega[deg],I[au],I_B[au],theta[deg],theta_corr[deg],omega_corr[deg],lambda[ang]
5.0,1315,1220,2.5,2.7744054972635306,5.548810994527061,0.37352047934521976
5.1,1220,1220,2.55,2.824216375131101,5.648432750262202,0.38020501209514956
5.2,1311,1309,2.6,2.874027252998672,5.748054505997344,0.38688839541952996
5.3,1590,1488,2.65,2.9238381308662422,5.8476762617324844,0.3935706091133364
5.4,1934,1666,2.7,2.973649008733813,5.947298017467626,0.40025163297508054
5.5,2508,1845,2.75,3.0234598866013838,6.0469197732027675,0.406931446806871
5.6,3643,2558,2.8,3.0732707644689543,6.146541528937909,0.41361003041447464
5.7,5090,3807,2.85,3.123081642336525,6.24616328467305,0.42028736360737723
5.8,6928,5055,2.9,3.1728925202040954,6.345785040408191,0.4269634261988452
5.9,9417,6304,2.95,3.2227033980716664,6.445406796143333,0.43363819800598596
6.0,11872,8225,3.0,3.272514275939237,6.545028551878474,0.440311658849809
6.1,14547,10819,3.05,3.322325153806807,6.644650307613614,0.4469837885552874
6.2,17303,13412,3.1,3.372136031674378,6.744272063348756,0.4536545669514186
6.3,19960,16006,3.15,3.4219469095419486,6.843893819083897,0.4603239738712847
6.4,22686,18345,3.2,3.471757787409519,6.943515574819038,0.46699198915211454
6.5,24503,20428,3.25,3.5215686652770897,7.043137330554179,0.4736585926353441
6.6,25637,22512,3.3,3.57137954314466,7.14275908628932,0.48032376416667716
6.7,26503,24595,3.35,3.621190421012231,7.242380842024462,0.4869874835961467
6.8,27929,25608,3.4,3.6710012988798013,7.342002597759603,0.49364973077817575
6.9,27441,25551,3.45,3.7208121767473723,7.441624353494745,0.5003104855716383
7.0,48235,25494,3.5,3.770623054614943,7.541246109229886,0.5069697278399194
7.1,25409,25437,3.55,3.820433932482513,7.640867864965026,0.5136274374509777
7.2,29182,24892,3.6,3.870244810350084,7.740489620700168,0.5202835942774048
7.3,28268,23858,3.65,3.9200556882176545,7.840111376435309,0.5269381781964865
7.4,27006,22825,3.7,3.9698665660852255,7.939733132170451,0.533591169090264
7.5,24724,21791,3.75,4.019677443952796,8.039354887905592,0.5402425468455947
7.6,22041,20100,3.8,4.069488321820366,8.138976643640731,0.5468922913542122
7.7,21274,17752,3.85,4.119299199687937,8.238598399375874,0.5535403825127885
7.8,19018,15405,3.9,4.169110077555508,8.338220155111015,0.5601868002229932
7.9,17193,13057,3.95,4.218920955423078,8.437841910846156,0.5668315243915555
8.0,14468,10492,4.0,4.268731833290649,8.537463666581298,0.5734745349303241
8.1,11883,7709,4.05,4.318542711158219,8.637085422316439,0.5801158117563286
8.2,8857,4927,4.1,4.36835358902579,8.73670717805158,0.5867553347918402
8.3,5457,2144,4.15,4.418164466893361,8.836328933786723,0.5933930839644312
8.4,3084,7992,4.2,4.467975344760931,8.935950689521862,0.6000290392070371
8.5,753,22470,4.25,4.5177862226285015,9.035572445257003,0.6066631804580171
8.6,63435,36949,4.3,4.567597100496072,9.135194200992144,0.6132954876612143
8.7,62696,51427,4.35,4.617407978363643,9.234815956727285,0.6199259407660158
8.8,60597,57336,4.4,4.667218856231214,9.334437712462428,0.6265545197274147
8.9,58666,54678,4.45,4.717029734098785,9.43405946819757,0.6331812045060693
9.0,55614,52018,4.5,4.766840611966355,9.53368122393271,0.6398059750683651
9.1,53071,49359,4.55,4.816651489833925,9.63330297966785,0.646428811386474
9.2,49903,47076,4.6,4.866462367701495,9.73292473540299,0.6530496934384155
9.3,48030,45168,4.65,4.916273245569067,9.832546491138134,0.6596686012081179
9.4,45546,43261,4.7,4.966084123436637,9.932168246873275,0.666285514685477
9.5,43372,41353,4.75,5.015895001304208,10.031790002608416,0.6729004138664187
9.6,41530,39566,4.8,5.065705879171778,10.131411758343557,0.6795132787529576
9.7,40399,37902,4.85,5.115516757039349,10.231033514078698,0.6861240893532587
9.8,39079,36237,4.9,5.16532763490692,10.33065526981384,0.692732825681698
9.9,37166,34572,4.95,5.21513851277449,10.43027702554898,0.6993394677589214
10.0,35622,32975,5.0,5.264949390642061,10.529898781284121,0.7059439956119069
10.1,33739,31446,5.05,5.314760268509631,10.629520537019262,0.7125463892740235
10.2,31218,29918,5.1,5.364571146377202,10.729142292754403,0.7191466287850928
10.3,29281,28389,5.15,5.414382024244773,10.828764048489546,0.7257446941914485
10.4,28169,27324,5.2,5.464192902112344,10.928385804224687,0.732340565545997
10.5,27625,26723,5.25,5.514003779979914,11.028007559959828,0.7389342229082776
10.6,27539,26122,5.3,5.563814657847484,11.127629315694968,0.745525646344523
10.7,26713,25521,5.35,5.613625535715054,11.227251071430109,0.7521148159277194
10.8,25915,24638,5.4,5.663436413582626,11.326872827165252,0.7587017117376674
10.9,25220,23473,5.45,5.713247291450196,11.426494582900393,0.7652863138610405
11.0,23799,22309,5.5,5.763058169317767,11.526116338635534,0.771868602391447
11.1,22560,21144,5.55,5.8128690471853375,11.625738094370675,0.7784485574294895
11.2,21852,20184,5.6,5.862679925052908,11.725359850105816,0.7850261590828252
11.3,20562,19427,5.65,5.912490802920479,11.824981605840957,0.7916013874662263
11.4,19928,18670,5.7,5.962301680788049,11.924603361576098,0.7981742227016394
11.5,18870,17913,5.75,6.01211255865562,12.02422511731124,0.8047446449182458
11.6,18212,17217,5.8,6.06192343652319,12.12384687304638,0.8113126342525224
11.7,17535,16583,5.85,6.111734314390761,12.223468628781522,0.8178781708483007
11.8,16926,15948,5.9,6.161545192258332,12.323090384516664,0.8244412348568271
11.9,16653,15313,5.95,6.211356070125903,12.422712140251805,0.8310018064368238
12.0,15681,14666,6.0,6.261166947993473,12.522333895986947,0.8375598657545469
12.1,14995,14008,6.05,6.310977825861043,12.621955651722086,0.8441153929838485
12.2,14419,13350,6.1,6.3607887037286135,12.721577407457227,0.8506683683062356
12.3,13688,12692,6.15,6.410599581596185,12.82119916319237,0.8572187719109294
12.4,12962,12201,6.2,6.4604104594637555,12.920820918927511,0.863766583994926
12.5,12363,11878,6.25,6.510221337331326,13.020442674662652,0.8703117847630567
12.6,11975,11555,6.3,6.560032215198897,13.120064430397793,0.8768543544280467
12.7,11746,11232,6.35,6.609843093066467,13.219686186132934,0.8833942732105758
12.8,11378,10823,6.4,6.659653970934038,13.319307941868075,0.8899315213393374
12.9,11070,10329,6.45,6.709464848801608,13.418929697603216,0.8964660790510994
13.0,10330,9834,6.5,6.759275726669179,13.518551453338358,0.9029979265907628
13.1,9954,9340,6.55,6.809086604536749,13.618173209073499,0.9095270442114223
13.2,9699,8927,6.6,6.85889748240432,13.71779496480864,0.9160534121744249
13.3,9093,8594,6.65,6.908708360271891,13.817416720543783,0.9225770107494315
13.4,8797,8262,6.7,6.958519238139462,13.917038476278924,0.9290978202144743
13.5,8464,7929,6.75,7.0083301160070315,14.016660232014063,0.9356158208560175
13.6,8275,7640,6.8,7.058140993874602,14.116281987749204,0.9421309929690176
13.7,7763,7394,6.85,7.107951871742173,14.215903743484345,0.9486433168569817
13.8,8028,7148,6.9,7.157762749609744,14.315525499219488,0.9551527728320276
13.9,7432,6902,6.95,7.207573627477315,14.41514725495463,0.9616593412149433
