omega[deg],I[au],I_B[au],theta[deg],omega_corr[deg],theta_corr[deg],lambda[ang]
10.6,14139,13792,5.3,11.127629315694968,5.563814657847484,0.745525646344523
10.7,14102,13652,5.35,11.227251071430109,5.613625535715054,0.7521148159277194
10.8,13805,13428,5.4,11.326872827165252,5.663436413582626,0.7587017117376674
10.9,13582,13120,5.45,11.426494582900393,5.713247291450196,0.7652863138610405
11.0,13030,12813,5.5,11.526116338635534,5.763058169317767,0.771868602391447
11.1,12967,12505,5.55,11.625738094370675,5.8128690471853375,0.7784485574294895
11.2,12371,12189,5.6,11.725359850105816,5.862679925052908,0.7850261590828252
11.3,12351,11866,5.65,11.824981605840957,5.912490802920479,0.7916013874662263
11.4,12040,11543,5.7,11.924603361576098,5.962301680788049,0.7981742227016394
11.5,11511,11220,5.75,12.02422511731124,6.01211255865562,0.8047446449182458
11.6,11212,10959,5.8,12.12384687304638,6.06192343652319,0.8113126342525224
11.7,11058,10761,5.85,12.223468628781522,6.111734314390761,0.8178781708483007
11.8,11108,10563,5.9,12.323090384516664,6.161545192258332,0.8244412348568271
11.9,10829,10365,5.95,12.422712140251805,6.211356070125903,0.8310018064368238
12.0,10525,10124,6.0,12.522333895986947,6.261166947993473,0.8375598657545469
12.1,10266,9840,6.05,12.621955651722086,6.310977825861043,0.8441153929838485
12.2,9789,9556,6.1,12.721577407457227,6.3607887037286135,0.8506683683062356
12.3,9585,9272,6.15,12.82119916319237,6.410599581596185,0.8572187719109294
12.4,9314,9067,6.2,12.920820918927511,6.4604104594637555,0.863766583994926
12.5,9130,8940,6.25,13.020442674662652,6.510221337331326,0.8703117847630567
12.6,9047,8813,6.3,13.120064430397793,6.560032215198897,0.8768543544280467
12.7,8703,8686,6.35,13.219686186132934,6.609843093066467,0.8833942732105758
12.8,8759,8516,6.4,13.319307941868075,6.659653970934038,0.8899315213393374
12.9,8623,8301,6.45,13.418929697603216,6.709464848801608,0.8964660790510994
13.0,8417,8087,6.5,13.518551453338358,6.759275726669179,0.9029979265907628
13.1,8100,7872,6.55,13.618173209073499,6.809086604536749,0.9095270442114223
